source,archive_page_type,year,volume,page_url
npj Computational Materials,openalex_year_slice,2015,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2015"
npj Computational Materials,openalex_year_slice,2016,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2016"
npj Computational Materials,openalex_year_slice,2017,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2017"
npj Computational Materials,openalex_year_slice,2018,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2018"
npj Computational Materials,openalex_year_slice,2019,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2019"
npj Computational Materials,openalex_year_slice,2020,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2020"
npj Computational Materials,openalex_year_slice,2021,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2021"
npj Computational Materials,openalex_year_slice,2022,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2022"
npj Computational Materials,openalex_year_slice,2023,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2023"
npj Computational Materials,openalex_year_slice,2024,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2024"
npj Computational Materials,openalex_year_slice,2025,,"https://api.openalex.org/works?filter=primary_location.source.id:S4210232664,publication_year:2025"
