source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.10,,https://openalex.org/W2278970271,The Open Quantum Materials Database (OQMD): assessing the accuracy of DFT formation energies,Scott Kirklin et al.,article,gold,https://www.nature.com/articles/npjcompumats201510.pdf,https://www.nature.com/articles/npjcompumats201510.pdf,https://doi.org/10.1038/npjcompumats.2015.10
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.3,,https://openalex.org/W2248765987,An efficient descriptor model for designing materials for solar cells,Fahhad H. Alharbi; Sergey N. Rashkeev; Fedwa El‐Mellouhi; Hans Peter Lüthi; Nouar Tabet; Sabre Kais,article,gold,https://www.nature.com/articles/npjcompumats20153.pdf,https://www.nature.com/articles/npjcompumats20153.pdf,https://doi.org/10.1038/npjcompumats.2015.3
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.8,,https://openalex.org/W2301868129,A bridge for accelerating materials by design,Bobby G. Sumpter; Rama K. Vasudevan; Thomas E. Potok; Sergei V. Kalinin,article,gold,https://www.nature.com/articles/npjcompumats20158.pdf,https://www.nature.com/articles/npjcompumats20158.pdf,https://doi.org/10.1038/npjcompumats.2015.8
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.1,,https://openalex.org/W2593274141,The origin of electronic band structure anomaly in topological crystalline insulator group-IV tellurides,Zhenyu Ye; Hui‐Xiong Deng; Huizhen Wu; Shu‐Shen Li; Su‐Huai Wei; Jun‐Wei Luo,article,gold,https://www.nature.com/articles/npjcompumats20151.pdf,https://www.nature.com/articles/npjcompumats20151.pdf,https://doi.org/10.1038/npjcompumats.2015.1
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.7,,https://openalex.org/W2593113110,Design and discovery of materials guided by theory and computation,Long‐Qing Chen et al.,article,gold,https://www.nature.com/articles/npjcompumats20157.pdf,https://www.nature.com/articles/npjcompumats20157.pdf,https://doi.org/10.1038/npjcompumats.2015.7
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.2,,https://openalex.org/W2592090558,Theory and experimental evidence of phonon domains and their roles in pre-martensitic phenomena,Yongmei M. Jin; Yu U. Wang; Yang Ren,article,gold,https://www.nature.com/articles/npjcompumats20152.pdf,https://www.nature.com/articles/npjcompumats20152.pdf,https://doi.org/10.1038/npjcompumats.2015.2
npj Computational Materials,npj_computational_materials_v1_i1,2015,1,1,10.1038/npjcompumats.2015.6,,https://openalex.org/W2301124283,Searching for new ferroelectrics and multiferroics: A user’s point of view,J. F. Scott,article,gold,https://www.nature.com/articles/npjcompumats20156.pdf,https://www.nature.com/articles/npjcompumats20156.pdf,https://doi.org/10.1038/npjcompumats.2015.6
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01493-2,PMC12369844,https://openalex.org/W4405574099,DPA-2: a large atomic model as a multi-task learner,Duo Zhang et al.,article,gold,https://www.nature.com/articles/s41524-024-01493-2.pdf,https://www.nature.com/articles/s41524-024-01493-2.pdf,https://doi.org/10.1038/s41524-024-01493-2
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-023-01186-2,,https://openalex.org/W4390546578,Obtaining auxetic and isotropic metamaterials in counterintuitive design spaces: an automated optimization approach and experimental characterization,Timon Meier et al.,article,gold,https://www.nature.com/articles/s41524-023-01186-2.pdf,https://www.nature.com/articles/s41524-023-01186-2.pdf,https://doi.org/10.1038/s41524-023-01186-2
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01211-y,,https://openalex.org/W4391559133,Unravelling ultralow thermal conductivity in perovskite Cs2AgBiBr6: dominant wave-like phonon tunnelling and strong anharmonicity,Jiongzhi Zheng; Changpeng Lin; Chongjia Lin; Geoffroy Hautier; Ruiqiang Guo; Baoling Huang,article,gold,https://www.nature.com/articles/s41524-024-01211-y.pdf,https://www.nature.com/articles/s41524-024-01211-y.pdf,https://doi.org/10.1038/s41524-024-01211-y
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01214-9,,https://openalex.org/W4392239009,Prediction of ambient pressure conventional superconductivity above 80 K in hydride compounds,Antonio Sanna; Tiago F. T. Cerqueira; Yue‐Wen Fang; Ion Errea; Alfred Ludwig; Miguel A. L. Marques,article,gold,https://www.nature.com/articles/s41524-024-01214-9.pdf,https://www.nature.com/articles/s41524-024-01214-9.pdf,https://doi.org/10.1038/s41524-024-01214-9
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01278-7,,https://openalex.org/W4396708749,Pretraining of attention-based deep learning potential model for molecular simulation,Duo Zhang et al.,article,gold,https://www.nature.com/articles/s41524-024-01278-7.pdf,https://www.nature.com/articles/s41524-024-01278-7.pdf,https://doi.org/10.1038/s41524-024-01278-7
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01227-4,,https://openalex.org/W4392166749,Robust training of machine learning interatomic potentials with dimensionality reduction and stratified sampling,Ji Qi; Tsz Wai Ko; Brandon C. Wood; Tuan Anh Pham; Shyue Ping Ong,article,gold,https://www.nature.com/articles/s41524-024-01227-4.pdf,https://www.nature.com/articles/s41524-024-01227-4.pdf,https://doi.org/10.1038/s41524-024-01227-4
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-023-01185-3,,https://openalex.org/W4390510032,Structure-aware graph neural network based deep transfer learning framework for enhanced predictive analytics on diverse materials datasets,Vishu Gupta et al.,article,gold,https://www.nature.com/articles/s41524-023-01185-3.pdf,https://www.nature.com/articles/s41524-023-01185-3.pdf,https://doi.org/10.1038/s41524-023-01185-3
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01215-8,,https://openalex.org/W4391611990,Sampling-accelerated prediction of phonon scattering rates for converged thermal conductivity and radiative properties,Ziqi Guo; Zherui Han; Dudong Feng; Guang Lin; Xiulin Ruan,article,gold,https://www.nature.com/articles/s41524-024-01215-8.pdf,https://www.nature.com/articles/s41524-024-01215-8.pdf,https://doi.org/10.1038/s41524-024-01215-8
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-023-01184-4,,https://openalex.org/W4390616620,Constant inner potential DFT for modelling electrochemical systems under constant potential and bias,Marko Melander; Tongwei Wu; Timo Weckman; Karoliina Honkala,article,gold,https://www.nature.com/articles/s41524-023-01184-4.pdf,https://www.nature.com/articles/s41524-023-01184-4.pdf,https://doi.org/10.1038/s41524-023-01184-4
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01205-w,,https://openalex.org/W4391051343,Machine learned force-fields for an Ab-initio quality description of metal-organic frameworks,Sandro Wieser; Egbert Zojer,article,gold,https://www.nature.com/articles/s41524-024-01205-w.pdf,https://www.nature.com/articles/s41524-024-01205-w.pdf,https://doi.org/10.1038/s41524-024-01205-w
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01274-x,,https://openalex.org/W4396852083,Evolution-guided Bayesian optimization for constrained multi-objective optimization in self-driving labs,Andre K. Y. Low et al.,article,gold,https://www.nature.com/articles/s41524-024-01274-x.pdf,https://www.nature.com/articles/s41524-024-01274-x.pdf,https://doi.org/10.1038/s41524-024-01274-x
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01457-6,,https://openalex.org/W4404311345,Data-driven design of novel lightweight refractory high-entropy alloys with superb hardness and corrosion resistance,Tianchuang Gao; Jianbao Gao; Shenglan Yang; Lijun Zhang,article,gold,https://www.nature.com/articles/s41524-024-01457-6.pdf,https://www.nature.com/articles/s41524-024-01457-6.pdf,https://doi.org/10.1038/s41524-024-01457-6
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01217-6,,https://openalex.org/W4391723716,Unraveling the crystallization kinetics of the Ge2Sb2Te5 phase change compound with a machine-learned interatomic potential,Omar Abou El Kheir; Luigi Bonati; Michele Parrinello; Marco Bernasconi,article,gold,https://www.nature.com/articles/s41524-024-01217-6.pdf,https://www.nature.com/articles/s41524-024-01217-6.pdf,https://doi.org/10.1038/s41524-024-01217-6
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-023-01194-2,,https://openalex.org/W4390701915,Extrapolative prediction of small-data molecular property using quantum mechanics-assisted machine learning,Hajime Shimakawa; Akiko Kumada; Masahiro Sato,article,gold,https://www.nature.com/articles/s41524-023-01194-2.pdf,https://www.nature.com/articles/s41524-023-01194-2.pdf,https://doi.org/10.1038/s41524-023-01194-2
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01332-4,,https://openalex.org/W4400776655,Cartesian atomic cluster expansion for machine learning interatomic potentials,Bingqing Cheng,article,gold,https://www.nature.com/articles/s41524-024-01332-4.pdf,https://www.nature.com/articles/s41524-024-01332-4.pdf,https://doi.org/10.1038/s41524-024-01332-4
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01352-0,,https://openalex.org/W4401798147,Progress in computational understanding of ferroelectric mechanisms in HfO2,Tianyuan Zhu; Liyang Ma; Shiqing Deng; Shi Liu,article,gold,https://www.nature.com/articles/s41524-024-01352-0.pdf,https://www.nature.com/articles/s41524-024-01352-0.pdf,https://doi.org/10.1038/s41524-024-01352-0
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01243-4,,https://openalex.org/W4393057377,MLMD: a programming-free AI platform to predict and design materials,Jiaxuan Ma et al.,article,gold,https://www.nature.com/articles/s41524-024-01243-4.pdf,https://www.nature.com/articles/s41524-024-01243-4.pdf,https://doi.org/10.1038/s41524-024-01243-4
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01220-x,,https://openalex.org/W4391962732,Crystal net catalog of model flat band materials,Paul M. Neves; Joshua P. Wakefield; Shiang Fang; Haimi Nguyen; Linda Ye; J. G. Checkelsky,article,gold,https://www.nature.com/articles/s41524-024-01220-x.pdf,https://www.nature.com/articles/s41524-024-01220-x.pdf,https://doi.org/10.1038/s41524-024-01220-x
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01259-w,,https://openalex.org/W4396706898,JARVIS-Leaderboard: a large scale benchmark of materials design methods,Kamal Choudhary et al.,article,gold,https://www.nature.com/articles/s41524-024-01259-w.pdf,https://www.nature.com/articles/s41524-024-01259-w.pdf,https://doi.org/10.1038/s41524-024-01259-w
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-023-01188-0,,https://openalex.org/W4390744083,Deep convolutional neural networks to restore single-shot electron microscopy images,Iván Lobato; Thomas Friedrich; Sandra Van Aert,article,gold,https://www.nature.com/articles/s41524-023-01188-0.pdf,https://www.nature.com/articles/s41524-023-01188-0.pdf,https://doi.org/10.1038/s41524-023-01188-0
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01481-6,,https://openalex.org/W4405577576,Data efficient machine learning potentials for modeling catalytic reactivity via active learning and enhanced sampling,Simone Perego; Luigi Bonati,article,gold,https://www.nature.com/articles/s41524-024-01481-6.pdf,https://www.nature.com/articles/s41524-024-01481-6.pdf,https://doi.org/10.1038/s41524-024-01481-6
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01328-0,,https://openalex.org/W4400199267,Property-guided generation of complex polymer topologies using variational autoencoders,Shengli Jiang; Adji Bousso Dieng; Michael A. Webb,article,gold,https://www.nature.com/articles/s41524-024-01328-0.pdf,https://www.nature.com/articles/s41524-024-01328-0.pdf,https://doi.org/10.1038/s41524-024-01328-0
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01316-4,,https://openalex.org/W4400317808,Structure-based out-of-distribution (OOD) materials property prediction: a benchmark study,Sadman Sadeed Omee; Nihang Fu; Rongzhi Dong; Ming Hu; Jianjun Hu,article,gold,https://www.nature.com/articles/s41524-024-01316-4.pdf,https://www.nature.com/articles/s41524-024-01316-4.pdf,https://doi.org/10.1038/s41524-024-01316-4
npj Computational Materials,npj_computational_materials_v10_i1,2024,10,1,10.1038/s41524-024-01373-9,,https://openalex.org/W4401612000,"Gas permeability, diffusivity, and solubility in polymers: Simulation-experiment data fusion and multi-task machine learning",Brandon K. Phan; Kuan-Hsuan Shen; Rishi Gurnani; Tran Doan Huan; Ryan P. Lively; Rampi Ramprasad,article,gold,https://www.nature.com/articles/s41524-024-01373-9.pdf,https://www.nature.com/articles/s41524-024-01373-9.pdf,https://doi.org/10.1038/s41524-024-01373-9
