source,archive_page_type,year,volume,page_url
Physical Review B,openalex_year_slice,1992,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1992"
Physical Review B,openalex_year_slice,1993,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1993"
Physical Review B,openalex_year_slice,1994,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1994"
Physical Review B,openalex_year_slice,1995,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1995"
Physical Review B,openalex_year_slice,1996,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1996"
Physical Review B,openalex_year_slice,1997,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1997"
Physical Review B,openalex_year_slice,1998,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1998"
Physical Review B,openalex_year_slice,1999,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:1999"
Physical Review B,openalex_year_slice,2000,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:2000"
Physical Review B,openalex_year_slice,2001,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:2001"
Physical Review B,openalex_year_slice,2002,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:2002"
Physical Review B,openalex_year_slice,2003,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:2003"
Physical Review B,openalex_year_slice,2004,,"https://api.openalex.org/works?filter=primary_location.source.id:S6791298|S4210174675,publication_year:2004"
