source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physical Review B,physical_review_b_v45_i14,journal_issue,1992,45,14,1,
Physical Review B,physical_review_b_v45_i16,journal_issue,1992,45,16,1,
Physical Review B,physical_review_b_v45_i20,journal_issue,1992,45,20,1,
Physical Review B,physical_review_b_v45_i23,journal_issue,1992,45,23,1,
Physical Review B,physical_review_b_v45_i5,journal_issue,1992,45,5,1,
Physical Review B,physical_review_b_v45_i7,journal_issue,1992,45,7,1,
Physical Review B,physical_review_b_v46_i1,journal_issue,1992,46,1,1,
Physical Review B,physical_review_b_v46_i10,journal_issue,1992,46,10,1,
Physical Review B,physical_review_b_v46_i14,journal_issue,1992,46,14,2,
Physical Review B,physical_review_b_v46_i15,journal_issue,1992,46,15,1,
Physical Review B,physical_review_b_v46_i16,journal_issue,1992,46,16,1,
Physical Review B,physical_review_b_v46_i17,journal_issue,1992,46,17,2,
Physical Review B,physical_review_b_v46_i18,journal_issue,1992,46,18,2,
Physical Review B,physical_review_b_v46_i19,journal_issue,1992,46,19,1,
Physical Review B,physical_review_b_v46_i21,journal_issue,1992,46,21,1,
Physical Review B,physical_review_b_v46_i22,journal_issue,1992,46,22,2,
Physical Review B,physical_review_b_v46_i6,journal_issue,1992,46,6,1,
Physical Review B,physical_review_b_v46_i9,journal_issue,1992,46,9,1,
Physical Review B,physical_review_b_v47_i1,journal_issue,1993,47,1,3,
Physical Review B,physical_review_b_v47_i10,journal_issue,1993,47,10,1,
Physical Review B,physical_review_b_v47_i13,journal_issue,1993,47,13,4,
Physical Review B,physical_review_b_v47_i14,journal_issue,1993,47,14,5,
Physical Review B,physical_review_b_v47_i16,journal_issue,1993,47,16,3,
Physical Review B,physical_review_b_v47_i17,journal_issue,1993,47,17,4,
Physical Review B,physical_review_b_v47_i18,journal_issue,1993,47,18,3,
Physical Review B,physical_review_b_v47_i19,journal_issue,1993,47,19,1,
Physical Review B,physical_review_b_v47_i20,journal_issue,1993,47,20,3,
Physical Review B,physical_review_b_v47_i21,journal_issue,1993,47,21,8,
Physical Review B,physical_review_b_v47_i22,journal_issue,1993,47,22,3,
Physical Review B,physical_review_b_v47_i24,journal_issue,1993,47,24,6,
Physical Review B,physical_review_b_v47_i4,journal_issue,1993,47,4,2,
Physical Review B,physical_review_b_v47_i5,journal_issue,1993,47,5,5,
Physical Review B,physical_review_b_v47_i7,journal_issue,1993,47,7,2,
Physical Review B,physical_review_b_v47_i8,journal_issue,1993,47,8,2,
Physical Review B,physical_review_b_v47_i9,journal_issue,1993,47,9,3,
Physical Review B,physical_review_b_v48_i1,journal_issue,1993,48,1,6,
Physical Review B,physical_review_b_v48_i10,journal_issue,1993,48,10,5,
Physical Review B,physical_review_b_v48_i11,journal_issue,1993,48,11,6,
Physical Review B,physical_review_b_v48_i12,journal_issue,1993,48,12,1,
Physical Review B,physical_review_b_v48_i13,journal_issue,1993,48,13,5,
Physical Review B,physical_review_b_v48_i14,journal_issue,1993,48,14,4,
Physical Review B,physical_review_b_v48_i15,journal_issue,1993,48,15,5,
Physical Review B,physical_review_b_v48_i16,journal_issue,1993,48,16,1,
Physical Review B,physical_review_b_v48_i17,journal_issue,1993,48,17,2,
Physical Review B,physical_review_b_v48_i18,journal_issue,1993,48,18,4,
Physical Review B,physical_review_b_v48_i19,journal_issue,1993,48,19,2,
Physical Review B,physical_review_b_v48_i2,journal_issue,1993,48,2,3,
Physical Review B,physical_review_b_v48_i20,journal_issue,1993,48,20,4,
Physical Review B,physical_review_b_v48_i21,journal_issue,1993,48,21,5,
Physical Review B,physical_review_b_v48_i22,journal_issue,1993,48,22,3,
Physical Review B,physical_review_b_v48_i23,journal_issue,1993,48,23,3,
Physical Review B,physical_review_b_v48_i3,journal_issue,1993,48,3,2,
Physical Review B,physical_review_b_v48_i4,journal_issue,1993,48,4,5,
Physical Review B,physical_review_b_v48_i5,journal_issue,1993,48,5,3,
Physical Review B,physical_review_b_v48_i6,journal_issue,1993,48,6,6,
Physical Review B,physical_review_b_v48_i8,journal_issue,1993,48,8,2,
Physical Review B,physical_review_b_v48_i9,journal_issue,1993,48,9,5,
Physical Review B,physical_review_b_v49_i1,journal_issue,1994,49,1,4,
Physical Review B,physical_review_b_v49_i10,journal_issue,1994,49,10,7,
Physical Review B,physical_review_b_v49_i11,journal_issue,1994,49,11,3,
Physical Review B,physical_review_b_v49_i12,journal_issue,1994,49,12,5,
Physical Review B,physical_review_b_v49_i13,journal_issue,1994,49,13,8,
Physical Review B,physical_review_b_v49_i14,journal_issue,1994,49,14,10,
Physical Review B,physical_review_b_v49_i15,journal_issue,1994,49,15,2,
Physical Review B,physical_review_b_v49_i16,journal_issue,1994,49,16,5,
Physical Review B,physical_review_b_v49_i17,journal_issue,1994,49,17,12,
Physical Review B,physical_review_b_v49_i18,journal_issue,1994,49,18,13,
Physical Review B,physical_review_b_v49_i19,journal_issue,1994,49,19,5,
Physical Review B,physical_review_b_v49_i2,journal_issue,1994,49,2,2,
Physical Review B,physical_review_b_v49_i20,journal_issue,1994,49,20,4,
Physical Review B,physical_review_b_v49_i21,journal_issue,1994,49,21,9,
Physical Review B,physical_review_b_v49_i22,journal_issue,1994,49,22,7,
Physical Review B,physical_review_b_v49_i23,journal_issue,1994,49,23,7,
Physical Review B,physical_review_b_v49_i24,journal_issue,1994,49,24,4,
Physical Review B,physical_review_b_v49_i3,journal_issue,1994,49,3,4,
Physical Review B,physical_review_b_v49_i4,journal_issue,1994,49,4,3,
Physical Review B,physical_review_b_v49_i5,journal_issue,1994,49,5,7,
Physical Review B,physical_review_b_v49_i6,journal_issue,1994,49,6,7,
Physical Review B,physical_review_b_v49_i7,journal_issue,1994,49,7,4,
Physical Review B,physical_review_b_v49_i8,journal_issue,1994,49,8,3,
Physical Review B,physical_review_b_v49_i9,journal_issue,1994,49,9,9,
Physical Review B,physical_review_b_v50_i1,journal_issue,1994,50,1,10,
Physical Review B,physical_review_b_v50_i10,journal_issue,1994,50,10,10,
Physical Review B,physical_review_b_v50_i11,journal_issue,1994,50,11,8,
Physical Review B,physical_review_b_v50_i12,journal_issue,1994,50,12,6,
Physical Review B,physical_review_b_v50_i13,journal_issue,1994,50,13,10,
Physical Review B,physical_review_b_v50_i14,journal_issue,1994,50,14,10,
Physical Review B,physical_review_b_v50_i15,journal_issue,1994,50,15,8,
Physical Review B,physical_review_b_v50_i16,journal_issue,1994,50,16,9,
Physical Review B,physical_review_b_v50_i17,journal_issue,1994,50,17,6,
Physical Review B,physical_review_b_v50_i18,journal_issue,1994,50,18,8,
Physical Review B,physical_review_b_v50_i19,journal_issue,1994,50,19,7,
Physical Review B,physical_review_b_v50_i2,journal_issue,1994,50,2,7,
Physical Review B,physical_review_b_v50_i20,journal_issue,1994,50,20,6,
Physical Review B,physical_review_b_v50_i21,journal_issue,1994,50,21,5,
Physical Review B,physical_review_b_v50_i22,journal_issue,1994,50,22,6,
Physical Review B,physical_review_b_v50_i23,journal_issue,1994,50,23,9,
Physical Review B,physical_review_b_v50_i24,journal_issue,1994,50,24,4,
Physical Review B,physical_review_b_v50_i3,journal_issue,1994,50,3,3,
Physical Review B,physical_review_b_v50_i4,journal_issue,1994,50,4,3,
Physical Review B,physical_review_b_v50_i5,journal_issue,1994,50,5,17,
Physical Review B,physical_review_b_v50_i6,journal_issue,1994,50,6,5,
Physical Review B,physical_review_b_v50_i7,journal_issue,1994,50,7,12,
Physical Review B,physical_review_b_v50_i8,journal_issue,1994,50,8,9,
Physical Review B,physical_review_b_v50_i9,journal_issue,1994,50,9,8,
Physical Review B,physical_review_b_v51_i1,journal_issue,1995,51,1,8,
Physical Review B,physical_review_b_v51_i10,journal_issue,1995,51,10,12,
Physical Review B,physical_review_b_v51_i11,journal_issue,1995,51,11,4,
Physical Review B,physical_review_b_v51_i12,journal_issue,1995,51,12,9,
Physical Review B,physical_review_b_v51_i13,journal_issue,1995,51,13,11,
Physical Review B,physical_review_b_v51_i14,journal_issue,1995,51,14,11,
Physical Review B,physical_review_b_v51_i15,journal_issue,1995,51,15,8,
Physical Review B,physical_review_b_v51_i16,journal_issue,1995,51,16,12,
Physical Review B,physical_review_b_v51_i17,journal_issue,1995,51,17,13,
Physical Review B,physical_review_b_v51_i18,journal_issue,1995,51,18,4,
Physical Review B,physical_review_b_v51_i19,journal_issue,1995,51,19,12,
Physical Review B,physical_review_b_v51_i2,journal_issue,1995,51,2,5,
Physical Review B,physical_review_b_v51_i20,journal_issue,1995,51,20,11,
Physical Review B,physical_review_b_v51_i21,journal_issue,1995,51,21,12,
Physical Review B,physical_review_b_v51_i22,journal_issue,1995,51,22,16,
Physical Review B,physical_review_b_v51_i23,journal_issue,1995,51,23,8,
Physical Review B,physical_review_b_v51_i24,journal_issue,1995,51,24,6,
Physical Review B,physical_review_b_v51_i3,journal_issue,1995,51,3,9,
Physical Review B,physical_review_b_v51_i4,journal_issue,1995,51,4,4,
Physical Review B,physical_review_b_v51_i5,journal_issue,1995,51,5,10,
Physical Review B,physical_review_b_v51_i6,journal_issue,1995,51,6,11,
Physical Review B,physical_review_b_v51_i7,journal_issue,1995,51,7,5,
Physical Review B,physical_review_b_v51_i8,journal_issue,1995,51,8,10,
Physical Review B,physical_review_b_v51_i9,journal_issue,1995,51,9,12,
Physical Review B,physical_review_b_v52_i1,journal_issue,1995,52,1,9,
Physical Review B,physical_review_b_v52_i10,journal_issue,1995,52,10,15,
Physical Review B,physical_review_b_v52_i11,journal_issue,1995,52,11,7,
Physical Review B,physical_review_b_v52_i12,journal_issue,1995,52,12,11,
Physical Review B,physical_review_b_v52_i13,journal_issue,1995,52,13,15,
Physical Review B,physical_review_b_v52_i14,journal_issue,1995,52,14,15,
Physical Review B,physical_review_b_v52_i15,journal_issue,1995,52,15,8,
Physical Review B,physical_review_b_v52_i16,journal_issue,1995,52,16,11,
Physical Review B,physical_review_b_v52_i17,journal_issue,1995,52,17,8,
Physical Review B,physical_review_b_v52_i18,journal_issue,1995,52,18,8,
Physical Review B,physical_review_b_v52_i19,journal_issue,1995,52,19,8,
Physical Review B,physical_review_b_v52_i2,journal_issue,1995,52,2,10,
Physical Review B,physical_review_b_v52_i20,journal_issue,1995,52,20,9,
Physical Review B,physical_review_b_v52_i21,journal_issue,1995,52,21,7,
Physical Review B,physical_review_b_v52_i22,journal_issue,1995,52,22,13,
Physical Review B,physical_review_b_v52_i23,journal_issue,1995,52,23,10,
Physical Review B,physical_review_b_v52_i24,journal_issue,1995,52,24,9,
Physical Review B,physical_review_b_v52_i3,journal_issue,1995,52,3,8,
Physical Review B,physical_review_b_v52_i4,journal_issue,1995,52,4,10,
Physical Review B,physical_review_b_v52_i5,journal_issue,1995,52,5,9,
Physical Review B,physical_review_b_v52_i6,journal_issue,1995,52,6,12,
Physical Review B,physical_review_b_v52_i7,journal_issue,1995,52,7,10,
Physical Review B,physical_review_b_v52_i8,journal_issue,1995,52,8,6,
Physical Review B,physical_review_b_v52_i9,journal_issue,1995,52,9,16,
Physical Review B,physical_review_b_v53_i1,journal_issue,1996,53,1,12,
Physical Review B,physical_review_b_v53_i10,journal_issue,1996,53,10,14,
Physical Review B,physical_review_b_v53_i11,journal_issue,1996,53,11,20,
Physical Review B,physical_review_b_v53_i12,journal_issue,1996,53,12,8,
Physical Review B,physical_review_b_v53_i13,journal_issue,1996,53,13,15,
Physical Review B,physical_review_b_v53_i14,journal_issue,1996,53,14,20,
Physical Review B,physical_review_b_v53_i15,journal_issue,1996,53,15,23,
Physical Review B,physical_review_b_v53_i16,journal_issue,1996,53,16,9,
Physical Review B,physical_review_b_v53_i17,journal_issue,1996,53,17,8,
Physical Review B,physical_review_b_v53_i18,journal_issue,1996,53,18,11,
Physical Review B,physical_review_b_v53_i19,journal_issue,1996,53,19,9,
Physical Review B,physical_review_b_v53_i2,journal_issue,1996,53,2,15,
Physical Review B,physical_review_b_v53_i20,journal_issue,1996,53,20,8,
Physical Review B,physical_review_b_v53_i21,journal_issue,1996,53,21,11,
Physical Review B,physical_review_b_v53_i22,journal_issue,1996,53,22,16,
Physical Review B,physical_review_b_v53_i23,journal_issue,1996,53,23,9,
Physical Review B,physical_review_b_v53_i24,journal_issue,1996,53,24,7,
Physical Review B,physical_review_b_v53_i3,journal_issue,1996,53,3,15,
Physical Review B,physical_review_b_v53_i4,journal_issue,1996,53,4,9,
Physical Review B,physical_review_b_v53_i5,journal_issue,1996,53,5,18,
Physical Review B,physical_review_b_v53_i6,journal_issue,1996,53,6,16,
Physical Review B,physical_review_b_v53_i7,journal_issue,1996,53,7,11,
Physical Review B,physical_review_b_v53_i8,journal_issue,1996,53,8,10,
Physical Review B,physical_review_b_v53_i9,journal_issue,1996,53,9,24,
Physical Review B,physical_review_b_v54_i1,journal_issue,1996,54,1,9,
Physical Review B,physical_review_b_v54_i10,journal_issue,1996,54,10,21,
Physical Review B,physical_review_b_v54_i11,journal_issue,1996,54,11,8,
Physical Review B,physical_review_b_v54_i12,journal_issue,1996,54,12,21,
Physical Review B,physical_review_b_v54_i13,journal_issue,1996,54,13,17,
Physical Review B,physical_review_b_v54_i14,journal_issue,1996,54,14,19,
Physical Review B,physical_review_b_v54_i15,journal_issue,1996,54,15,15,
