source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physical Review D,physical_review_d_v71_i1,journal_issue,2005,71,1,90,
Physical Review D,physical_review_d_v71_i10,journal_issue,2005,71,10,45,
Physical Review D,physical_review_d_v71_i11,journal_issue,2005,71,11,73,
Physical Review D,physical_review_d_v71_i12,journal_issue,2005,71,12,55,
Physical Review D,physical_review_d_v71_i2,journal_issue,2005,71,2,48,
Physical Review D,physical_review_d_v71_i3,journal_issue,2005,71,3,64,
Physical Review D,physical_review_d_v71_i4,journal_issue,2005,71,4,38,
Physical Review D,physical_review_d_v71_i5,journal_issue,2005,71,5,78,
Physical Review D,physical_review_d_v71_i6,journal_issue,2005,71,6,36,
Physical Review D,physical_review_d_v71_i7,journal_issue,2005,71,7,81,
Physical Review D,physical_review_d_v71_i8,journal_issue,2005,71,8,40,
Physical Review D,physical_review_d_v71_i9,journal_issue,2005,71,9,75,
Physical Review D,physical_review_d_v72_i1,journal_issue,2005,72,1,59,
Physical Review D,physical_review_d_v72_i10,journal_issue,2005,72,10,42,
Physical Review D,physical_review_d_v72_i11,journal_issue,2005,72,11,58,
Physical Review D,physical_review_d_v72_i12,journal_issue,2005,72,12,31,
Physical Review D,physical_review_d_v72_i2,journal_issue,2005,72,2,35,
Physical Review D,physical_review_d_v72_i3,journal_issue,2005,72,3,93,
Physical Review D,physical_review_d_v72_i4,journal_issue,2005,72,4,32,
Physical Review D,physical_review_d_v72_i5,journal_issue,2005,72,5,103,
Physical Review D,physical_review_d_v72_i6,journal_issue,2005,72,6,55,
Physical Review D,physical_review_d_v72_i7,journal_issue,2005,72,7,76,
Physical Review D,physical_review_d_v72_i8,journal_issue,2005,72,8,43,
Physical Review D,physical_review_d_v72_i9,journal_issue,2005,72,9,90,
Physical Review D,physical_review_d_v73_i1,journal_issue,2006,73,1,75,
Physical Review D,physical_review_d_v73_i10,journal_issue,2006,73,10,47,
Physical Review D,physical_review_d_v73_i11,journal_issue,2006,73,11,71,
Physical Review D,physical_review_d_v73_i12,journal_issue,2006,73,12,50,
Physical Review D,physical_review_d_v73_i2,journal_issue,2006,73,2,35,
Physical Review D,physical_review_d_v73_i3,journal_issue,2006,73,3,64,
Physical Review D,physical_review_d_v73_i4,journal_issue,2006,73,4,47,
Physical Review D,physical_review_d_v73_i5,journal_issue,2006,73,5,91,
Physical Review D,physical_review_d_v73_i6,journal_issue,2006,73,6,59,
Physical Review D,physical_review_d_v73_i7,journal_issue,2006,73,7,74,
Physical Review D,physical_review_d_v73_i8,journal_issue,2006,73,8,39,
Physical Review D,physical_review_d_v73_i9,journal_issue,2006,73,9,65,
Physical Review D,physical_review_d_v74_i1,journal_issue,2006,74,1,93,
Physical Review D,physical_review_d_v74_i10,journal_issue,2006,74,10,44,
Physical Review D,physical_review_d_v74_i11,journal_issue,2006,74,11,84,
Physical Review D,physical_review_d_v74_i12,journal_issue,2006,74,12,42,
Physical Review D,physical_review_d_v74_i2,journal_issue,2006,74,2,42,
Physical Review D,physical_review_d_v74_i3,journal_issue,2006,74,3,92,
Physical Review D,physical_review_d_v74_i4,journal_issue,2006,74,4,61,
Physical Review D,physical_review_d_v74_i5,journal_issue,2006,74,5,83,
Physical Review D,physical_review_d_v74_i6,journal_issue,2006,74,6,46,
Physical Review D,physical_review_d_v74_i7,journal_issue,2006,74,7,68,
Physical Review D,physical_review_d_v74_i8,journal_issue,2006,74,8,47,
Physical Review D,physical_review_d_v74_i9,journal_issue,2006,74,9,71,
Physical Review D,physical_review_d_v75_i1,journal_issue,2007,75,1,71,
Physical Review D,physical_review_d_v75_i10,journal_issue,2007,75,10,38,
Physical Review D,physical_review_d_v75_i11,journal_issue,2007,75,11,59,
Physical Review D,physical_review_d_v75_i12,journal_issue,2007,75,12,37,
Physical Review D,physical_review_d_v75_i2,journal_issue,2007,75,2,53,
Physical Review D,physical_review_d_v75_i3,journal_issue,2007,75,3,63,
Physical Review D,physical_review_d_v75_i4,journal_issue,2007,75,4,42,
Physical Review D,physical_review_d_v75_i5,journal_issue,2007,75,5,68,
Physical Review D,physical_review_d_v75_i6,journal_issue,2007,75,6,53,
Physical Review D,physical_review_d_v75_i7,journal_issue,2007,75,7,86,
Physical Review D,physical_review_d_v75_i8,journal_issue,2007,75,8,53,
Physical Review D,physical_review_d_v75_i9,journal_issue,2007,75,9,66,
Physical Review D,physical_review_d_v76_i1,journal_issue,2007,76,1,63,
Physical Review D,physical_review_d_v76_i10,journal_issue,2007,76,10,64,
Physical Review D,physical_review_d_v76_i11,journal_issue,2007,76,11,80,
Physical Review D,physical_review_d_v76_i12,journal_issue,2007,76,12,58,
Physical Review D,physical_review_d_v76_i2,journal_issue,2007,76,2,38,
Physical Review D,physical_review_d_v76_i3,journal_issue,2007,76,3,56,
Physical Review D,physical_review_d_v76_i4,journal_issue,2007,76,4,39,
Physical Review D,physical_review_d_v76_i5,journal_issue,2007,76,5,60,
Physical Review D,physical_review_d_v76_i6,journal_issue,2007,76,6,44,
Physical Review D,physical_review_d_v76_i7,journal_issue,2007,76,7,97,
Physical Review D,physical_review_d_v76_i8,journal_issue,2007,76,8,48,
Physical Review D,physical_review_d_v76_i9,journal_issue,2007,76,9,93,
Physical Review D,physical_review_d_v77_i1,journal_issue,2008,77,1,93,
Physical Review D,physical_review_d_v77_i10,journal_issue,2008,77,10,49,
Physical Review D,physical_review_d_v77_i11,journal_issue,2008,77,11,91,
Physical Review D,physical_review_d_v77_i12,journal_issue,2008,77,12,72,
Physical Review D,physical_review_d_v77_i2,journal_issue,2008,77,2,61,
Physical Review D,physical_review_d_v77_i3,journal_issue,2008,77,3,60,
Physical Review D,physical_review_d_v77_i4,journal_issue,2008,77,4,66,
Physical Review D,physical_review_d_v77_i5,journal_issue,2008,77,5,79,
Physical Review D,physical_review_d_v77_i6,journal_issue,2008,77,6,64,
Physical Review D,physical_review_d_v77_i7,journal_issue,2008,77,7,64,
Physical Review D,physical_review_d_v77_i8,journal_issue,2008,77,8,34,
Physical Review D,physical_review_d_v77_i9,journal_issue,2008,77,9,85,
Physical Review D,physical_review_d_v78_i1,journal_issue,2008,78,1,112,
Physical Review D,physical_review_d_v78_i10,journal_issue,2008,78,10,43,
Physical Review D,physical_review_d_v78_i11,journal_issue,2008,78,11,99,
Physical Review D,physical_review_d_v78_i12,journal_issue,2008,78,12,48,
Physical Review D,physical_review_d_v78_i2,journal_issue,2008,78,2,41,
Physical Review D,physical_review_d_v78_i3,journal_issue,2008,78,3,104,
Physical Review D,physical_review_d_v78_i4,journal_issue,2008,78,4,56,
Physical Review D,physical_review_d_v78_i5,journal_issue,2008,78,5,84,
Physical Review D,physical_review_d_v78_i6,journal_issue,2008,78,6,88,
Physical Review D,physical_review_d_v78_i7,journal_issue,2008,78,7,118,
Physical Review D,physical_review_d_v78_i8,journal_issue,2008,78,8,57,
Physical Review D,physical_review_d_v78_i9,journal_issue,2008,78,9,68,
Physical Review D,physical_review_d_v79_i1,journal_issue,2009,79,1,89,
Physical Review D,physical_review_d_v79_i10,journal_issue,2009,79,10,56,
Physical Review D,physical_review_d_v79_i11,journal_issue,2009,79,11,102,
Physical Review D,physical_review_d_v79_i12,journal_issue,2009,79,12,56,
Physical Review D,physical_review_d_v79_i2,journal_issue,2009,79,2,49,
Physical Review D,physical_review_d_v79_i3,journal_issue,2009,79,3,81,
Physical Review D,physical_review_d_v79_i4,journal_issue,2009,79,4,59,
Physical Review D,physical_review_d_v79_i5,journal_issue,2009,79,5,82,
Physical Review D,physical_review_d_v79_i6,journal_issue,2009,79,6,62,
Physical Review D,physical_review_d_v79_i7,journal_issue,2009,79,7,97,
Physical Review D,physical_review_d_v79_i8,journal_issue,2009,79,8,67,
Physical Review D,physical_review_d_v79_i9,journal_issue,2009,79,9,92,
Physical Review D,physical_review_d_v80_i1,journal_issue,2009,80,1,80,
Physical Review D,physical_review_d_v80_i10,journal_issue,2009,80,10,39,
Physical Review D,physical_review_d_v80_i11,journal_issue,2009,80,11,93,
Physical Review D,physical_review_d_v80_i12,journal_issue,2009,80,12,63,
Physical Review D,physical_review_d_v80_i2,journal_issue,2009,80,2,55,
Physical Review D,physical_review_d_v80_i3,journal_issue,2009,80,3,95,
Physical Review D,physical_review_d_v80_i4,journal_issue,2009,80,4,47,
Physical Review D,physical_review_d_v80_i5,journal_issue,2009,80,5,110,
Physical Review D,physical_review_d_v80_i6,journal_issue,2009,80,6,55,
Physical Review D,physical_review_d_v80_i7,journal_issue,2009,80,7,101,
Physical Review D,physical_review_d_v80_i8,journal_issue,2009,80,8,51,
Physical Review D,physical_review_d_v80_i9,journal_issue,2009,80,9,74,
Physical Review D,physical_review_d_v81_i1,journal_issue,2010,81,1,73,
Physical Review D,physical_review_d_v81_i10,journal_issue,2009,81,10,54,
Physical Review D,physical_review_d_v81_i11,journal_issue,2010,81,11,88,
Physical Review D,physical_review_d_v81_i12,journal_issue,2010,81,12,52,
Physical Review D,physical_review_d_v81_i2,journal_issue,2010,81,2,46,
Physical Review D,physical_review_d_v81_i3,journal_issue,2010,81,3,94,
Physical Review D,physical_review_d_v81_i4,journal_issue,2010,81,4,54,
Physical Review D,physical_review_d_v81_i5,journal_issue,2010,81,5,90,
Physical Review D,physical_review_d_v81_i6,journal_issue,2010,81,6,41,
Physical Review D,physical_review_d_v81_i7,journal_issue,2010,81,7,94,
Physical Review D,physical_review_d_v81_i8,journal_issue,2010,81,8,64,
Physical Review D,physical_review_d_v81_i9,journal_issue,2010,81,9,87,
Physical Review D,physical_review_d_v82_i1,journal_issue,2010,82,1,67,
Physical Review D,physical_review_d_v82_i10,journal_issue,2010,82,10,69,
Physical Review D,physical_review_d_v82_i11,journal_issue,2010,82,11,116,
Physical Review D,physical_review_d_v82_i12,journal_issue,2010,82,12,82,
Physical Review D,physical_review_d_v82_i2,journal_issue,2010,82,2,54,
Physical Review D,physical_review_d_v82_i3,journal_issue,2010,82,3,103,
Physical Review D,physical_review_d_v82_i4,journal_issue,2010,82,4,58,
Physical Review D,physical_review_d_v82_i5,journal_issue,2010,82,5,97,
Physical Review D,physical_review_d_v82_i6,journal_issue,2010,82,6,51,
Physical Review D,physical_review_d_v82_i7,journal_issue,2010,82,7,91,
Physical Review D,physical_review_d_v82_i8,journal_issue,2010,82,8,58,
Physical Review D,physical_review_d_v82_i9,journal_issue,2010,82,9,97,
Physical Review D,physical_review_d_v83_i1,journal_issue,2011,83,1,68,
Physical Review D,physical_review_d_v83_i10,journal_issue,2011,83,10,50,
Physical Review D,physical_review_d_v83_i11,journal_issue,2011,83,11,115,
Physical Review D,physical_review_d_v83_i12,journal_issue,2011,83,12,66,
Physical Review D,physical_review_d_v83_i2,journal_issue,2011,83,2,41,
Physical Review D,physical_review_d_v83_i3,journal_issue,2011,83,3,93,
Physical Review D,physical_review_d_v83_i4,journal_issue,2011,83,4,48,
Physical Review D,physical_review_d_v83_i5,journal_issue,2011,83,5,87,
Physical Review D,physical_review_d_v83_i6,journal_issue,2011,83,6,58,
Physical Review D,physical_review_d_v83_i7,journal_issue,2011,83,7,82,
Physical Review D,physical_review_d_v83_i8,journal_issue,2011,83,8,50,
Physical Review D,physical_review_d_v83_i9,journal_issue,2011,83,9,98,
Physical Review D,physical_review_d_v84_i1,journal_issue,2011,84,1,106,
Physical Review D,physical_review_d_v84_i10,journal_issue,2011,84,10,63,
Physical Review D,physical_review_d_v84_i11,journal_issue,2011,84,11,83,
Physical Review D,physical_review_d_v84_i12,journal_issue,2011,84,12,72,
Physical Review D,physical_review_d_v84_i2,journal_issue,2011,84,2,51,
Physical Review D,physical_review_d_v84_i3,journal_issue,2011,84,3,124,
Physical Review D,physical_review_d_v84_i4,journal_issue,2011,84,4,59,
Physical Review D,physical_review_d_v84_i5,journal_issue,2011,84,5,102,
Physical Review D,physical_review_d_v84_i6,journal_issue,2011,84,6,59,
Physical Review D,physical_review_d_v84_i7,journal_issue,2011,84,7,108,
Physical Review D,physical_review_d_v84_i8,journal_issue,2011,84,8,58,
Physical Review D,physical_review_d_v84_i9,journal_issue,2011,84,9,105,
Physical Review D,physical_review_d_v85_i1,journal_issue,2012,85,1,107,
Physical Review D,physical_review_d_v85_i10,journal_issue,2012,85,10,68,
Physical Review D,physical_review_d_v85_i11,journal_issue,2012,85,11,120,
Physical Review D,physical_review_d_v85_i12,journal_issue,2012,85,12,85,
Physical Review D,physical_review_d_v85_i2,journal_issue,2012,85,2,46,
Physical Review D,physical_review_d_v85_i3,journal_issue,2012,85,3,102,
Physical Review D,physical_review_d_v85_i4,journal_issue,2012,85,4,57,
Physical Review D,physical_review_d_v85_i5,journal_issue,2012,85,5,91,
Physical Review D,physical_review_d_v85_i6,journal_issue,2012,85,6,50,
Physical Review D,physical_review_d_v85_i7,journal_issue,2012,85,7,97,
Physical Review D,physical_review_d_v85_i8,journal_issue,2012,85,8,62,
Physical Review D,physical_review_d_v85_i9,journal_issue,2012,85,9,125,
Physical Review D,physical_review_d_v86_i1,journal_issue,2012,86,1,104,
Physical Review D,physical_review_d_v86_i10,journal_issue,2012,86,10,74,
Physical Review D,physical_review_d_v86_i11,journal_issue,2012,86,11,124,
Physical Review D,physical_review_d_v86_i12,journal_issue,2012,86,12,54,
Physical Review D,physical_review_d_v86_i2,journal_issue,2012,86,2,57,
Physical Review D,physical_review_d_v86_i3,journal_issue,2012,86,3,117,
Physical Review D,physical_review_d_v86_i4,journal_issue,2012,86,4,51,
Physical Review D,physical_review_d_v86_i5,journal_issue,2012,86,5,110,
Physical Review D,physical_review_d_v86_i6,journal_issue,2012,86,6,58,
Physical Review D,physical_review_d_v86_i7,journal_issue,2012,86,7,126,
Physical Review D,physical_review_d_v86_i8,journal_issue,2012,86,8,87,
Physical Review D,physical_review_d_v86_i9,journal_issue,2012,86,9,136,
Physical Review D,physical_review_d_v87_i1,journal_issue,2013,87,1,106,
Physical Review D,physical_review_d_v87_i10,journal_issue,2013,87,10,46,
Physical Review D,physical_review_d_v87_i11,journal_issue,2013,87,11,94,
Physical Review D,physical_review_d_v87_i12,journal_issue,2013,87,12,57,
Physical Review D,physical_review_d_v87_i2,journal_issue,2013,87,2,53,
Physical Review D,physical_review_d_v87_i3,journal_issue,2013,87,3,111,
Physical Review D,physical_review_d_v87_i4,journal_issue,2013,87,4,57,
Physical Review D,physical_review_d_v87_i5,journal_issue,2013,87,5,102,
