source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015009,,https://openalex.org/W2905267208,Probing pseudo-Goldstone dark matter at the LHC,Katri Huitu; Niko Koivunen; Oleg Lebedev; Subhadeep Mondal; Takashi Toma,article,hybrid,https://doi.org/10.1103/physrevd.100.015009,https://arxiv.org/pdf/1812.05952,https://doi.org/10.1103/physrevd.100.015009
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015049,,https://openalex.org/W2945548108,Dark matter targets for axionlike particle searches,Nikita Blinov; Matthew J. Dolan; Patrick Draper; Jonathan Kozaczuk,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015049,https://arxiv.org/pdf/1905.06952,https://doi.org/10.1103/physrevd.100.015049
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015048,,https://openalex.org/W2916836741,Relaxation of the cosmological constant,Peter W. Graham; David E. Kaplan; Surjeet Rajendran,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015048,https://arxiv.org/pdf/1902.06793,https://doi.org/10.1103/physrevd.100.015048
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015019,,https://openalex.org/W2913101551,Multi-component dark matter in a non-Abelian dark sector,Fatemeh Elahi; Sara Khatibi,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015019,https://arxiv.org/pdf/1902.04384,https://doi.org/10.1103/physrevd.100.015019
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015031,,https://openalex.org/W2943474576,Can the ANITA anomalous events be due to new physics?,James M. Cline; Christian Groß; Wei Xue,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015031,https://arxiv.org/pdf/1904.13396,https://doi.org/10.1103/physrevd.100.015031
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015029,,https://openalex.org/W2901979602,Addressing astrophysical and cosmological problems with secretly asymmetric dark matter,Christopher Dessert; Can Kılıç; Cynthia Trendafilova; Yuhsin Tsai,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015029,https://arxiv.org/pdf/1811.05534,https://doi.org/10.1103/physrevd.100.015029
Physical Review D,physical_review_d_v100_i1,2019,100,1,10.1103/physrevd.100.015002,,https://openalex.org/W2734016432,"Inflation and leptogenesis in a <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>U</mml:mi><mml:mo mathvariant=""bold"" stretchy=""false"">(</mml:mo><mml:mn>1</mml:mn><mml:mo mathvariant=""bold"" stretchy=""false"">)</mml:mo></mml:math>-enhanced supersymmetric model",Y. H. Ahn,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.015002,https://arxiv.org/pdf/1706.09707,https://doi.org/10.1103/physrevd.100.015002
Physical Review D,physical_review_d_v100_i10,2019,100,10,10.1103/physrevd.100.102002,,https://openalex.org/W2989633088,First results from the CRESST-III low-mass dark matter program,A. H. Abdelhameed et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevD.100.102002,https://arxiv.org/pdf/1904.00498,https://doi.org/10.1103/physrevd.100.102002
Physical Review D,physical_review_d_v100_i10,2019,100,10,10.1103/physrevd.100.104027,,https://openalex.org/W2966106638,"Observational constraints of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>f</mml:mi><mml:mo mathvariant=""bold"" stretchy=""false"">(</mml:mo><mml:mi>Q</mml:mi><mml:mo mathvariant=""bold"" stretchy=""false"">)</mml:mo></mml:math>gravity",Ruth Lazkoz; Francisco S. N. Lobo; María Ortiz-Baños; Vincenzo Salzano,article,green,https://arxiv.org/pdf/1907.13219,https://arxiv.org/pdf/1907.13219,https://doi.org/10.1103/physrevd.100.104027
Physical Review D,physical_review_d_v100_i10,2019,100,10,10.1103/physrevd.100.103011,,https://openalex.org/W2954739031,Strong new limits on light dark matter from neutrino experiments,Christopher V. Cappiello; J. F. Beacom,article,hybrid,http://link.aps.org/pdf/10.1103/PhysRevD.100.103011,https://arxiv.org/pdf/1906.11283,https://doi.org/10.1103/physrevd.100.103011
Physical Review D,physical_review_d_v100_i10,2019,100,10,10.1103/physrevd.100.103532,,https://openalex.org/W2910241684,Cosmology with the kinematic Sunyaev-Zeldovich effect: Breaking the optical depth degeneracy with fast radio bursts,Mathew S. Madhavacheril; Nicholas Battaglia; Kendrick M. Smith; Jonathan Sievers,article,green,https://arxiv.org/pdf/1901.02418,https://arxiv.org/pdf/1901.02418,https://doi.org/10.1103/physrevd.100.103532
