source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physical Review D,physical_review_d_v100_i1,journal_issue,2019,100,1,7,
Physical Review D,physical_review_d_v100_i10,journal_issue,2019,100,10,20,
Physical Review D,physical_review_d_v100_i11,journal_issue,2019,100,11,5,
Physical Review D,physical_review_d_v100_i12,journal_issue,2019,100,12,31,
Physical Review D,physical_review_d_v100_i2,journal_issue,2019,100,2,32,
Physical Review D,physical_review_d_v100_i3,journal_issue,2019,100,3,5,
Physical Review D,physical_review_d_v100_i4,journal_issue,2019,100,4,30,
Physical Review D,physical_review_d_v100_i5,journal_issue,2019,100,5,3,
Physical Review D,physical_review_d_v100_i6,journal_issue,2019,100,6,27,
Physical Review D,physical_review_d_v100_i7,journal_issue,2019,100,7,3,
Physical Review D,physical_review_d_v100_i8,journal_issue,2019,100,8,25,
Physical Review D,physical_review_d_v100_i9,journal_issue,2019,100,9,3,
Physical Review D,physical_review_d_v101_i10,journal_issue,2020,101,10,27,
Physical Review D,physical_review_d_v101_i11,journal_issue,2020,101,11,6,
Physical Review D,physical_review_d_v101_i12,journal_issue,2020,101,12,15,
Physical Review D,physical_review_d_v101_i2,journal_issue,2020,101,2,22,
Physical Review D,physical_review_d_v101_i3,journal_issue,2020,101,3,3,
Physical Review D,physical_review_d_v101_i4,journal_issue,2020,101,4,25,
Physical Review D,physical_review_d_v101_i5,journal_issue,2020,101,5,5,
Physical Review D,physical_review_d_v101_i6,journal_issue,2020,101,6,31,
Physical Review D,physical_review_d_v101_i7,journal_issue,2020,101,7,8,
Physical Review D,physical_review_d_v101_i8,journal_issue,2020,101,8,26,
Physical Review D,physical_review_d_v101_i9,journal_issue,2020,101,9,3,
Physical Review D,physical_review_d_v102_i1,journal_issue,2020,102,1,2,
Physical Review D,physical_review_d_v102_i10,journal_issue,2020,102,10,23,
Physical Review D,physical_review_d_v102_i11,journal_issue,2020,102,11,2,
Physical Review D,physical_review_d_v102_i12,journal_issue,2020,102,12,32,
Physical Review D,physical_review_d_v102_i2,journal_issue,2020,102,2,37,
Physical Review D,physical_review_d_v102_i3,journal_issue,2020,102,3,2,
Physical Review D,physical_review_d_v102_i4,journal_issue,2020,102,4,28,
Physical Review D,physical_review_d_v102_i5,journal_issue,2020,102,5,4,
Physical Review D,physical_review_d_v102_i6,journal_issue,2020,102,6,22,
Physical Review D,physical_review_d_v102_i7,journal_issue,2020,102,7,3,
Physical Review D,physical_review_d_v102_i8,journal_issue,2020,102,8,29,
Physical Review D,physical_review_d_v102_i9,journal_issue,2020,102,9,4,
Physical Review D,physical_review_d_v103_i1,journal_issue,2021,103,1,6,
Physical Review D,physical_review_d_v103_i10,journal_issue,2021,103,10,29,
Physical Review D,physical_review_d_v103_i11,journal_issue,2021,103,11,6,
Physical Review D,physical_review_d_v103_i12,journal_issue,2021,103,12,35,
Physical Review D,physical_review_d_v103_i2,journal_issue,2021,103,2,17,
Physical Review D,physical_review_d_v103_i3,journal_issue,2021,103,3,4,
Physical Review D,physical_review_d_v103_i4,journal_issue,2021,103,4,31,
Physical Review D,physical_review_d_v103_i5,journal_issue,2021,103,5,1,
Physical Review D,physical_review_d_v103_i6,journal_issue,2021,103,6,24,
