source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physical Review Letters,physical_review_letters_v100_i1,journal_issue,2008,100,1,5,
Physical Review Letters,physical_review_letters_v100_i10,journal_issue,2008,100,10,6,
Physical Review Letters,physical_review_letters_v100_i11,journal_issue,2008,100,11,4,
Physical Review Letters,physical_review_letters_v100_i12,journal_issue,2008,100,12,5,
Physical Review Letters,physical_review_letters_v100_i13,journal_issue,2008,100,13,9,
Physical Review Letters,physical_review_letters_v100_i14,journal_issue,2008,100,14,5,
Physical Review Letters,physical_review_letters_v100_i15,journal_issue,2008,100,15,3,
Physical Review Letters,physical_review_letters_v100_i16,journal_issue,2008,100,16,8,
Physical Review Letters,physical_review_letters_v100_i17,journal_issue,2008,100,17,11,
Physical Review Letters,physical_review_letters_v100_i18,journal_issue,2008,100,18,4,
Physical Review Letters,physical_review_letters_v100_i19,journal_issue,2008,100,19,10,
Physical Review Letters,physical_review_letters_v100_i2,journal_issue,2008,100,2,10,
Physical Review Letters,physical_review_letters_v100_i20,journal_issue,2008,100,20,5,
Physical Review Letters,physical_review_letters_v100_i21,journal_issue,2008,100,21,4,
Physical Review Letters,physical_review_letters_v100_i22,journal_issue,2008,100,22,5,
Physical Review Letters,physical_review_letters_v100_i23,journal_issue,2008,100,23,4,
Physical Review Letters,physical_review_letters_v100_i24,journal_issue,2008,100,24,11,
Physical Review Letters,physical_review_letters_v100_i25,journal_issue,2008,100,25,8,
Physical Review Letters,physical_review_letters_v100_i3,journal_issue,2008,100,3,11,
Physical Review Letters,physical_review_letters_v100_i4,journal_issue,2008,100,4,3,
Physical Review Letters,physical_review_letters_v100_i5,journal_issue,2008,100,5,10,
Physical Review Letters,physical_review_letters_v100_i6,journal_issue,2008,100,6,11,
Physical Review Letters,physical_review_letters_v100_i7,journal_issue,2008,100,7,1,
Physical Review Letters,physical_review_letters_v100_i8,journal_issue,2008,100,8,4,
Physical Review Letters,physical_review_letters_v100_i9,journal_issue,2008,100,9,8,
Physical Review Letters,physical_review_letters_v101_i1,journal_issue,2008,101,1,4,
Physical Review Letters,physical_review_letters_v101_i10,journal_issue,2008,101,10,7,
Physical Review Letters,physical_review_letters_v101_i11,journal_issue,2008,101,11,7,
Physical Review Letters,physical_review_letters_v101_i12,journal_issue,2008,101,12,9,
Physical Review Letters,physical_review_letters_v101_i13,journal_issue,2008,101,13,8,
Physical Review Letters,physical_review_letters_v101_i14,journal_issue,2008,101,14,5,
Physical Review Letters,physical_review_letters_v101_i15,journal_issue,2008,101,15,8,
Physical Review Letters,physical_review_letters_v101_i16,journal_issue,2008,101,16,5,
Physical Review Letters,physical_review_letters_v101_i17,journal_issue,2008,101,17,9,
Physical Review Letters,physical_review_letters_v101_i18,journal_issue,2008,101,18,9,
Physical Review Letters,physical_review_letters_v101_i19,journal_issue,2008,101,19,7,
Physical Review Letters,physical_review_letters_v101_i2,journal_issue,2008,101,2,7,
Physical Review Letters,physical_review_letters_v101_i20,journal_issue,2008,101,20,8,
Physical Review Letters,physical_review_letters_v101_i21,journal_issue,2008,101,21,5,
Physical Review Letters,physical_review_letters_v101_i22,journal_issue,2008,101,22,7,
Physical Review Letters,physical_review_letters_v101_i23,journal_issue,2008,101,23,6,
Physical Review Letters,physical_review_letters_v101_i24,journal_issue,2008,101,24,6,
Physical Review Letters,physical_review_letters_v101_i25,journal_issue,2008,101,25,9,
Physical Review Letters,physical_review_letters_v101_i26,journal_issue,2008,101,26,6,
Physical Review Letters,physical_review_letters_v101_i3,journal_issue,2008,101,3,3,
Physical Review Letters,physical_review_letters_v101_i4,journal_issue,2008,101,4,4,
Physical Review Letters,physical_review_letters_v101_i5,journal_issue,2008,101,5,2,
Physical Review Letters,physical_review_letters_v101_i6,journal_issue,2008,101,6,5,
Physical Review Letters,physical_review_letters_v101_i7,journal_issue,2008,101,7,5,
Physical Review Letters,physical_review_letters_v101_i8,journal_issue,2008,101,8,6,
Physical Review Letters,physical_review_letters_v101_i9,journal_issue,2008,101,9,7,
Physical Review Letters,physical_review_letters_v102_i1,journal_issue,2009,102,1,5,
Physical Review Letters,physical_review_letters_v102_i10,journal_issue,2009,102,10,7,
Physical Review Letters,physical_review_letters_v102_i11,journal_issue,2009,102,11,5,
Physical Review Letters,physical_review_letters_v102_i12,journal_issue,2009,102,12,6,
Physical Review Letters,physical_review_letters_v102_i13,journal_issue,2009,102,13,2,
Physical Review Letters,physical_review_letters_v102_i14,journal_issue,2009,102,14,7,
Physical Review Letters,physical_review_letters_v102_i15,journal_issue,2009,102,15,9,
Physical Review Letters,physical_review_letters_v102_i16,journal_issue,2009,102,16,8,
