source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.012001,,https://openalex.org/W2019063698,Hadronic Light-by-Light Scattering Contribution to the Muon Anomalous Magnetic Moment from Lattice QCD,,article,,,https://arxiv.org/pdf/1407.2923,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.012502,,https://openalex.org/W2017537763,Spectral Structure of Electron Antineutrinos from Nuclear Reactors,,article,,,https://arxiv.org/pdf/1407.1281,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.011301,,https://openalex.org/W1765774345,Dark Matter with Pseudoscalar-Mediated Interactions Explains the DAMA Signal and the Galactic Center Excess,,article,,,https://arxiv.org/pdf/1406.5542,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.011802,,https://openalex.org/W2088281547,"Can the Differences in the Determinations of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>V</mml:mi><mml:mrow><mml:mi>u</mml:mi><mml:mi>b</mml:mi></mml:mrow></mml:msub></mml:math>and<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>V</mml:mi><mml:mrow><mml:mi>c</mml:mi><mml:mi>b</mml:mi></mml:mrow></mml:msub></mml:math>Be Explained by New Physics?",,article,,,https://arxiv.org/pdf/1407.1320,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.012501,,https://openalex.org/W2520666904,Nuclear Neutron-Proton Contact and the Photoabsorption Cross Section,,article,,,https://arxiv.org/pdf/1405.2734,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.012701,,https://openalex.org/W2057961443,Relativistic Coulomb Excitation within the Time Dependent Superfluid Local Density Approximation,,article,,,https://arxiv.org/pdf/1403.2671,
Physical Review Letters,physical_review_letters_v114_i1,2015,114,1,10.1103/physrevlett.114.011801,,https://openalex.org/W2054041532,New Physics in Resonant Production of Higgs Boson Pairs,,article,,,https://arxiv.org/pdf/1408.0003,
Physical Review Letters,physical_review_letters_v114_i10,2015,114,10,10.1103/physrevlett.114.101802,,https://openalex.org/W2159369158,Exclusive Window onto Higgs Yukawa Couplings,,article,,,https://arxiv.org/pdf/1406.1722,
Physical Review Letters,physical_review_letters_v114_i10,2015,114,10,10.1103/physrevlett.114.102001,,https://openalex.org/W1836172482,Effects of Heavy Sea Quarks at Low Energies,,article,,,https://arxiv.org/pdf/1410.8374,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.111603,,https://openalex.org/W1964419676,Entanglement Entropy of Electromagnetic Edge Modes,,article,,,https://arxiv.org/pdf/1412.1895,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.111602,,https://openalex.org/W2057582927,Entanglement Entropy in Galilean Conformal Field Theories and Flat Holography,,article,,,https://arxiv.org/pdf/1410.4089,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.111801,,https://openalex.org/W139921695,"Enhanced Higgs Boson to<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi>τ</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup><mml:msup><mml:mrow><mml:mi>τ</mml:mi></mml:mrow><mml:mrow><mml:mo>−</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math>Search with Deep Learning",,article,,,https://arxiv.org/pdf/1410.3469,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.115002,,https://openalex.org/W2018681553,Effective Critical Electric Field for Runaway-Electron Generation,,article,,,https://arxiv.org/pdf/1412.4608,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.112301,,https://openalex.org/W2049053844,Elliptic Flow and Nuclear Modification Factor in Ultrarelativistic Heavy-Ion Collisions within a Partonic Transport Model,,article,,,https://arxiv.org/pdf/1401.1364,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.111601,,https://openalex.org/W2050053634,String Theory of the Regge Intercept,,article,,,https://arxiv.org/pdf/1312.0999,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.112501,,https://openalex.org/W2072770230,Measurements of Double-Polarized Compton Scattering Asymmetries and Extraction of the Proton Spin Polarizabilities,,article,,,https://arxiv.org/pdf/1408.1576,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.112001,,https://openalex.org/W1619490682,Chiral Symmetry Breaking in QCD with Two Light Flavors,,article,,,https://arxiv.org/pdf/1406.4987,
Physical Review Letters,physical_review_letters_v114_i11,2015,114,11,10.1103/physrevlett.114.111302,,https://openalex.org/W2115416447,"First Direct Limits on Lightly Ionizing Particles with Electric Charge Less than <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>e</mml:mi><mml:mo>/</mml:mo><mml:mn>6</mml:mn></mml:mrow></mml:math>",,article,,,https://arxiv.org/pdf/1409.3270,
Physical Review Letters,physical_review_letters_v114_i12,2015,114,12,10.1103/physrevlett.114.122501,,https://openalex.org/W2046273913,Uncertainty Quantification for Nuclear Density Functional Theory and Information Content of New Measurements,,article,,,https://arxiv.org/pdf/1501.03572,
Physical Review Letters,physical_review_letters_v114_i12,2015,114,12,10.1103/physrevlett.114.124801,,https://openalex.org/W2018826815,Coulomb-Driven Energy Boost of Heavy Ions for Laser-Plasma Acceleration,,article,,,https://arxiv.org/pdf/1412.3620,
Physical Review Letters,physical_review_letters_v114_i12,2015,114,12,10.1103/physrevlett.114.122001,,https://openalex.org/W1598036737,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mover accent=""true""><mml:mrow><mml:mi>d</mml:mi></mml:mrow><mml:mrow><mml:mo stretchy=""false"">¯</mml:mo></mml:mrow></mml:mover><mml:mo>−</mml:mo><mml:mover accent=""true""><mml:mrow><mml:mi>u</mml:mi></mml:mrow><mml:mrow><mml:mo stretchy=""false"">¯</mml:mo></mml:mrow></mml:mover></mml:mrow></mml:math>Asymmetry in the Proton in Chiral Effective Theory",,article,,,https://arxiv.org/pdf/1409.5885,
Physical Review Letters,physical_review_letters_v114_i12,2015,114,12,10.1103/physrevlett.114.125004,,https://openalex.org/W1970216290,Electron Kinetics Inferred from Observations of Microwave Bursts During Edge Localized Modes in the Mega-Amp Spherical Tokamak,,article,,,https://arxiv.org/pdf/1411.0842,
