source,archive_page_type,year,volume,page_url
Physical Review Letters,openalex_year_slice,1980,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1980"
Physical Review Letters,openalex_year_slice,1981,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1981"
Physical Review Letters,openalex_year_slice,1982,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1982"
Physical Review Letters,openalex_year_slice,1983,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1983"
Physical Review Letters,openalex_year_slice,1984,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1984"
Physical Review Letters,openalex_year_slice,1985,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1985"
Physical Review Letters,openalex_year_slice,1986,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1986"
Physical Review Letters,openalex_year_slice,1987,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1987"
Physical Review Letters,openalex_year_slice,1988,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1988"
Physical Review Letters,openalex_year_slice,1989,,"https://api.openalex.org/works?filter=primary_location.source.id:S24807848,publication_year:1989"
