source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Physical Review Letters,physical_review_letters_v44_i1,1980,44,1,10.1103/physrevlett.44.54.2,,https://openalex.org/W2789032248,Low-Energy Pion Production at 0° with Heavy Ions from 125 to 400 MeV/Nucleon.,W. Benenson et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.54.2,http://link.aps.org/pdf/10.1103/physrevlett.44.54.2,https://doi.org/10.1103/physrevlett.44.54.2
Physical Review Letters,physical_review_letters_v44_i10,1980,44,10,10.1103/physrevlett.44.690,,https://openalex.org/W4243338929,"Measurement of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>ω</mml:mi></mml:math>-Meson Photoproduction on Protons from 46 TO 180 GeV.",R. M. Egloff et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.690,http://link.aps.org/pdf/10.1103/physrevlett.44.690,https://doi.org/10.1103/physrevlett.44.690
Physical Review Letters,physical_review_letters_v44_i11,1980,44,11,10.1103/physrevlett.44.764.3,,https://openalex.org/W4243430916,Noncollinearity of Jets in Quantum Chromodynamics.,P. E. L. Rakow; B. R. Webber,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.764.3,http://link.aps.org/pdf/10.1103/physrevlett.44.764.3,https://doi.org/10.1103/physrevlett.44.764.3
Physical Review Letters,physical_review_letters_v44_i13,1980,44,13,10.1103/physrevlett.44.903.2,,https://openalex.org/W2801395671,Neutrino Experiment to Test the Nature of Muon-Number Conservation,S. Willis et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.903.2,http://link.aps.org/pdf/10.1103/physrevlett.44.903.2,https://doi.org/10.1103/physrevlett.44.903.2
Physical Review Letters,physical_review_letters_v44_i14,1980,44,14,10.1103/physrevlett.44.962.2,,https://openalex.org/W3014454009,"Mechanism for the Difference in Lifetimes of Charged and Neutral<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>D</mml:mi></mml:math>Mesons",Myron Bander; Dennis Silverman; A. Soni,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.962.2,http://link.aps.org/pdf/10.1103/physrevlett.44.962.2,https://doi.org/10.1103/physrevlett.44.962.2
Physical Review Letters,physical_review_letters_v44_i17,1980,44,17,10.1103/physrevlett.44.1163,,https://openalex.org/W4241635367,Determination of the Quark Decay Function without Phenomenological Input.,Van Chang; Rudolph C. Hwa,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.1163,http://link.aps.org/pdf/10.1103/physrevlett.44.1163,https://doi.org/10.1103/physrevlett.44.1163
Physical Review Letters,physical_review_letters_v44_i21,1980,44,21,10.1103/physrevlett.44.1437,,https://openalex.org/W3033322677,"Helium Synthesis, Neutrino Flavors, and Cosmological Implications",F. W. Stecker,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.1437,http://link.aps.org/pdf/10.1103/physrevlett.44.1437,https://doi.org/10.1103/physrevlett.44.1437
Physical Review Letters,physical_review_letters_v44_i26,1980,44,26,10.1103/physrevlett.44.1722,,https://openalex.org/W2043836515,Search for the Production of a New Quark Flavor at the c.m.-System Energies between 33 and 35.8 GeV,D. P. Barber et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.44.1722,http://link.aps.org/pdf/10.1103/physrevlett.44.1722,https://doi.org/10.1103/physrevlett.44.1722
Physical Review Letters,physical_review_letters_v45_i10,1980,45,10,10.1103/physrevlett.45.769,,https://openalex.org/W2045856810,Measurement of Forward Jets Produced in High-Transverse-Momentum Hadron-Proton Collisions,C. Bromberg et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.45.769,http://link.aps.org/pdf/10.1103/physrevlett.45.769,https://doi.org/10.1103/physrevlett.45.769
Physical Review Letters,physical_review_letters_v45_i16,1980,45,16,10.1103/physrevlett.45.1370,,https://openalex.org/W4244258176,Neutrino Experiment to Test the Nature of Muon-Number Conservation,S. Willis et al.,article,bronze,http://link.aps.org/pdf/10.1103/PhysRevLett.45.1370,http://link.aps.org/pdf/10.1103/physrevlett.45.1370,https://doi.org/10.1103/physrevlett.45.1370
