source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physical Review Letters,physical_review_letters_v44_i1,journal_issue,1980,44,1,1,
Physical Review Letters,physical_review_letters_v44_i10,journal_issue,1980,44,10,1,
Physical Review Letters,physical_review_letters_v44_i11,journal_issue,1980,44,11,1,
Physical Review Letters,physical_review_letters_v44_i13,journal_issue,1980,44,13,1,
Physical Review Letters,physical_review_letters_v44_i14,journal_issue,1980,44,14,1,
Physical Review Letters,physical_review_letters_v44_i17,journal_issue,1980,44,17,1,
Physical Review Letters,physical_review_letters_v44_i21,journal_issue,1980,44,21,1,
Physical Review Letters,physical_review_letters_v44_i26,journal_issue,1980,44,26,1,
Physical Review Letters,physical_review_letters_v45_i10,journal_issue,1980,45,10,1,
Physical Review Letters,physical_review_letters_v45_i16,journal_issue,1980,45,16,1,
Physical Review Letters,physical_review_letters_v45_i19,journal_issue,1980,45,19,1,
Physical Review Letters,physical_review_letters_v45_i21,journal_issue,1980,45,21,1,
Physical Review Letters,physical_review_letters_v45_i6,journal_issue,1980,45,6,1,
Physical Review Letters,physical_review_letters_v45_i7,journal_issue,1980,45,7,1,
Physical Review Letters,physical_review_letters_v47_i8,journal_issue,1981,47,8,1,
Physical Review Letters,physical_review_letters_v48_i11,journal_issue,1982,48,11,1,
Physical Review Letters,physical_review_letters_v48_i15,journal_issue,1982,48,15,1,
Physical Review Letters,physical_review_letters_v48_i22,journal_issue,1982,48,22,1,
Physical Review Letters,physical_review_letters_v48_i25,journal_issue,1982,48,25,1,
Physical Review Letters,physical_review_letters_v48_i4,journal_issue,1982,48,4,1,
Physical Review Letters,physical_review_letters_v51_i1,journal_issue,1983,51,1,1,
Physical Review Letters,physical_review_letters_v51_i13,journal_issue,1983,51,13,1,
Physical Review Letters,physical_review_letters_v51_i14,journal_issue,1983,51,14,1,
Physical Review Letters,physical_review_letters_v51_i15,journal_issue,1983,51,15,1,
Physical Review Letters,physical_review_letters_v51_i17,journal_issue,1983,51,17,1,
Physical Review Letters,physical_review_letters_v51_i20,journal_issue,1983,51,20,1,
Physical Review Letters,physical_review_letters_v51_i6,journal_issue,1983,51,6,2,
Physical Review Letters,physical_review_letters_v51_i9,journal_issue,1983,51,9,1,
Physical Review Letters,physical_review_letters_v52_i1,journal_issue,1984,52,1,1,
Physical Review Letters,physical_review_letters_v52_i18,journal_issue,1984,52,18,2,
Physical Review Letters,physical_review_letters_v52_i24,journal_issue,1984,52,24,1,
Physical Review Letters,physical_review_letters_v52_i5,journal_issue,1984,52,5,1,
Physical Review Letters,physical_review_letters_v52_i8,journal_issue,1984,52,8,1,
Physical Review Letters,physical_review_letters_v53_i10,journal_issue,1984,53,10,1,
Physical Review Letters,physical_review_letters_v53_i16,journal_issue,1984,53,16,1,
Physical Review Letters,physical_review_letters_v53_i2,journal_issue,1984,53,2,1,
Physical Review Letters,physical_review_letters_v53_i24,journal_issue,1984,53,24,1,
