source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011001,https://doi.org/10.1103/physrevx.1.011001,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Natural Human Mobility Patterns and Spatial Spread of Infectious Diseases,,Vitaly Belik; Theo Geisel; Dirk Brockmann,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011001,10.1103/physrevx.1.011001,https://openalex.org/W2147363999,https://openalex.org/W2147363999,article,,Metapopulation; Statistical physics; Network topology; Population; Computer science; Lattice (music); Epidemic model; Mobility model; Parameter space; Stochastic modelling; Diffusion; Spatial ecology,25,169
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011004,https://doi.org/10.1103/physrevx.1.011004,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Amorphization of Molecular Liquids of Pharmaceutical Drugs by Acoustic Levitation,,Chris J. Benmore; J. K. Richard Weber,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011004,10.1103/physrevx.1.011004,https://openalex.org/W1984510090,https://openalex.org/W1984510090,article,,Levitation; Solubility; Acoustic levitation; Amorphous solid; Materials science; License; Nanotechnology; Computer science; Physical chemistry; Chemistry; Organic chemistry; Physics,35,89
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011003,https://doi.org/10.1103/physrevx.1.011003,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Landau-Zener-Stückelberg Interferometry of a Single Electronic Spin in a Noisy Environment,,Pu Huang; Jingwei Zhou; Fang Fang; Xi Kong; Xiangkun Xu; et al.,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011003,10.1103/physrevx.1.011003,https://openalex.org/W2963416685,https://openalex.org/W2963416685,article,,Physics; Spins; Coherent control; Qubit; Quantum decoherence; Zener diode; Spin (aerodynamics); Interferometry; Field (mathematics); Condensed matter physics; Quantum mechanics; Quantum,30,45
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011005,https://doi.org/10.1103/physrevx.1.011005,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Quantum Entanglement of a Tunneling Spin with Mechanical Modes of a Torsional Resonator,,D. A. Garanin; Eugene M. Chudnovsky,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011005,10.1103/physrevx.1.011005,https://openalex.org/W2022018381,https://openalex.org/W2022018381,article,,Quantum entanglement; Quantum tunnelling; Resonator; Physics; Quantum mechanics; Spin (aerodynamics); Quantum; Condensed matter physics; Optoelectronics; Thermodynamics,29,29
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011002,https://doi.org/10.1103/physrevx.1.011002,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Ensemble of Linear Molecules in Nondispersing Rotational Quantum States: A Molecular Stopwatch,,James Cryan; James M. Glownia; Douglas Broege; Yue Ma; P. H. Bucksbaum,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011002,10.1103/physrevx.1.011002,https://openalex.org/W2314994994,https://openalex.org/W2314994994,article,,Statistical physics; Stopwatch; Physics; Quantum; Quantum mechanics; Astronomy,12,18
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-19,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011006,https://doi.org/10.1103/physrevx.1.011006,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"InAs/InP/InSb Nanowires as Low Capacitance<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>n</mml:mi><mml:mtext mathvariant=""normal"">−</mml:mtext><mml:mi>n</mml:mi></mml:math>Heterojunction Diodes",,Alessandro Pitanti; Daniele Ercolani; Lucia Sorba; Stefano Roddaro; Fabio Beltram; et al.,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011006,10.1103/physrevx.1.011006,https://openalex.org/W2316158347,https://openalex.org/W2316158347,article,,Nanowire; Diode; Semiconductor; Rectification; Optoelectronics; Thermionic emission; Heterojunction; Materials science; Physics; Condensed matter physics; Voltage; Electron,27,25
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-09-07,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011007,https://doi.org/10.1103/physrevx.1.011007,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Hybrid Nanocavity Resonant Enhancement of Color Center Emission in Diamond,,Paul E. Barclay; Kai-Mei C. Fu; Charles Santori; Andrei Faraon; Raymond G. Beausoleil,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011007,10.1103/physrevx.1.011007,https://openalex.org/W2078812011,https://openalex.org/W2078812011,article,,Diamond; Materials science; Optoelectronics; Resonance (particle physics); Optics; Line (geometry); Spontaneous emission; Photonic crystal; Crystal (programming language); Emission spectrum; Photon; Purcell effect,30,67
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-09-09,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011008,https://doi.org/10.1103/physrevx.1.011008,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,Predictability of Conversation Partners,,Taro Takaguchi; Mitsuhiro Nakamura; Nobuo Sato; Kazuo Yano; Naoki Masuda,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011008,10.1103/physrevx.1.011008,https://openalex.org/W2132292040,https://openalex.org/W2132292040,article,,Predictability; Conversation; Computer science; Phone; Node (physics); Data science; Communication; Psychology; Mathematics; Statistics; Engineering; Linguistics,53,83
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-09-15,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011009,https://doi.org/10.1103/physrevx.1.011009,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Robustness of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>s</mml:mi></mml:math>-Wave Pairing in Electron-Overdoped<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>A</mml:mi><mml:mrow><mml:mn>1</mml:mn><mml:mo>−</mml:mo><mml:mi>y</mml:mi></mml:mrow></mml:msub><mml:msub><mml:mi>Fe</mml:mi><mml:mrow><mml:mn>2</mml:mn><mml:mo>−</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub><mml:msub><mml:mi>Se</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mo stretchy=""false"">(</mml:mo><mml:mi>A</mml:mi><mml:mo mathvariant=""bold"">=</mml:mo><mml:mi mathvariant=""bold"">K</mml:mi><mml:mo>,</mml:mo><mml:mtext></mml:mtext><mml:mi>Cs</mml:mi><mml:mo stretchy=""false"">)</mml:mo></mml:math>",,Chen Fang; Yang-Le Wu; Ronny Thomale; B. Andrei Bernevig; Jiangping Hu,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011009,10.1103/physrevx.1.011009,https://openalex.org/W1681050290,https://openalex.org/W1681050290,article,,Pairing; Superconductivity; Physics; Robustness (evolution); Computer science; Mechanism (biology); Order (exchange); Topology (electrical circuits); Statistical physics; Theoretical physics; Condensed matter physics; Quantum mechanics,57,70
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-09-15,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011010,https://doi.org/10.1103/physrevx.1.011010,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS137042341%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,"Field-Induced Quantum Critical Point and Nodal Superconductivity in the Heavy-Fermion Superconductor<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>Ce</mml:mi><mml:mn>2</mml:mn></mml:msub><mml:msub><mml:mi>PdIn</mml:mi><mml:mn>8</mml:mn></mml:msub></mml:math>",,J. K. Dong; Hao Zhang; Xiaodi Qiu; B. Y. Pan; Y. F. Dai; et al.,gold;is_oa,http://link.aps.org/pdf/10.1103/PhysRevX.1.011010,10.1103/physrevx.1.011010,https://openalex.org/W2963472816,https://openalex.org/W2963472816,article,,Superconductivity; Physics; Heavy fermion superconductor; Condensed matter physics; Fermion; Heavy fermion; Antiferromagnetism; Imaging phantom; Competition (biology); Field (mathematics); Quantum mechanics; Mathematics,42,27
