source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
Physical Review X,physical_review_x_2011_v1_i1,journal_issue,2011,2011-08-08,"vol. 1, issue 1",https://doi.org/10.1103/physrevx.1.011001,13
Physical Review X,physical_review_x_2011_v1_i2,journal_issue,2011,2011-10-03,"vol. 1, issue 2",https://doi.org/10.1103/physrevx.1.021002,27
Physical Review X,physical_review_x_2012_v2_i1,journal_issue,2012,2012-01-01,"vol. 2, issue 1",https://doi.org/10.1103/physrevx.2.011008,17
Physical Review X,physical_review_x_2012_v2_i2,journal_issue,2012,2012-02-01,"vol. 2, issue 2",https://doi.org/10.1103/physrevx.2.021001,16
Physical Review X,physical_review_x_2012_v2_i3,journal_issue,2012,2012-07-05,"vol. 2, issue 3",https://doi.org/10.1103/physrevx.2.031001,23
Physical Review X,physical_review_x_2012_v2_i4,journal_issue,2012,2012-10-04,"vol. 2, issue 4",https://doi.org/10.1103/physrevx.2.041001,22
Physical Review X,physical_review_x_2013_v3_i1,journal_issue,2013,2013-01-10,"vol. 3, issue 1",https://doi.org/10.1103/physrevx.3.011001,20
Physical Review X,physical_review_x_2013_v3_i2,journal_issue,2013,2013-04-11,"vol. 3, issue 2",https://doi.org/10.1103/physrevx.3.021001,20
Physical Review X,physical_review_x_2013_v3_i3,journal_issue,2013,2013-07-01,"vol. 3, issue 3",https://doi.org/10.1103/physrevx.3.031001,19
Physical Review X,physical_review_x_2013_v3_i4,journal_issue,2013,2013-10-08,"vol. 3, issue 4",https://doi.org/10.1103/physrevx.3.041001,38
Physical Review X,physical_review_x_2014_10_batch,official_article_batch,2014,2014-10-16,article batch 2014-10,https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=915303,1
Physical Review X,physical_review_x_2014_v4,journal_volume_or_batch,2014,2014-01-01,vol. 4,http://www.osti.gov/scitech/biblio/1121798-asymmetric-electron-transport-monolayer-bilayer-heterojunctions-epitaxial-graphene,1
Physical Review X,physical_review_x_2014_v4_i1,journal_issue,2014,2014-01-09,"vol. 4, issue 1",https://doi.org/10.1103/physrevx.4.011001,60
