source,unit_id,unit_type,year,volume,issue,n_eligible_items,unit_url
Physics Letters B,physics_letters_b_v741_i,journal_issue,2015,741,,6,
Physics Letters B,physics_letters_b_v742_i,journal_issue,2015,742,,38,
Physics Letters B,physics_letters_b_v743_i,journal_issue,2015,743,,40,
Physics Letters B,physics_letters_b_v744_i,journal_issue,2015,744,,41,
Physics Letters B,physics_letters_b_v745_i,journal_issue,2015,745,,10,
Physics Letters B,physics_letters_b_v746_i,journal_issue,2015,746,,38,
Physics Letters B,physics_letters_b_v747_i,journal_issue,2015,747,,24,
Physics Letters B,physics_letters_b_v748_i,journal_issue,2015,748,,30,
Physics Letters B,physics_letters_b_v749_i,journal_issue,2015,749,,50,
Physics Letters B,physics_letters_b_v750_i,journal_issue,2015,750,,63,
Physics Letters B,physics_letters_b_v751_i,journal_issue,2015,751,,54,
Physics Letters B,physics_letters_b_v752_i,journal_issue,2015,752,,35,
Physics Letters B,physics_letters_b_v753_i,journal_issue,2015,753,,69,
Physics Letters B,physics_letters_b_v754_i,journal_issue,2016,754,,31,
Physics Letters B,physics_letters_b_v755_i,journal_issue,2016,755,,47,
Physics Letters B,physics_letters_b_v756_i,journal_issue,2016,756,,42,
Physics Letters B,physics_letters_b_v757_i,journal_issue,2016,757,,51,
Physics Letters B,physics_letters_b_v758_i,journal_issue,2016,758,,47,
Physics Letters B,physics_letters_b_v759_i,journal_issue,2016,759,,53,
Physics Letters B,physics_letters_b_v760_i,journal_issue,2016,760,,71,
Physics Letters B,physics_letters_b_v761_i,journal_issue,2016,761,,37,
Physics Letters B,physics_letters_b_v762_i,journal_issue,2016,762,,53,
Physics Letters B,physics_letters_b_v763_i,journal_issue,2016,763,,46,
Physics Letters B,physics_letters_b_v764_i,journal_issue,2016,764,,34,
Physics Letters B,physics_letters_b_v765_i,journal_issue,2016,765,,32,
Physics Letters B,physics_letters_b_v766_i,journal_issue,2016,766,,29,
Physics Letters B,physics_letters_b_v767_i,journal_issue,2017,767,,46,
Physics Letters B,physics_letters_b_v768_i,journal_issue,2017,768,,35,
Physics Letters B,physics_letters_b_v769_i,journal_issue,2017,769,,51,
Physics Letters B,physics_letters_b_v769_i10,journal_issue,2017,769,10,1,
Physics Letters B,physics_letters_b_v770_i,journal_issue,2017,770,,42,
Physics Letters B,physics_letters_b_v771_i,journal_issue,2017,771,,66,
Physics Letters B,physics_letters_b_v772_i,journal_issue,2017,772,,75,
Physics Letters B,physics_letters_b_v773_i,journal_issue,2017,773,,66,
Physics Letters B,physics_letters_b_v774_i,journal_issue,2017,774,,59,
Physics Letters B,physics_letters_b_v775_i,journal_issue,2017,775,,26,
Physics Letters B,physics_letters_b_v776_i,journal_issue,2017,776,,40,
Physics Letters B,physics_letters_b_v777_i,journal_issue,2017,777,,36,
Physics Letters B,physics_letters_b_v778_i,journal_issue,2018,778,,35,
Physics Letters B,physics_letters_b_v779_i,journal_issue,2018,779,,37,
Physics Letters B,physics_letters_b_v780_i,journal_issue,2018,780,,52,
Physics Letters B,physics_letters_b_v781_i,journal_issue,2018,781,,71,
Physics Letters B,physics_letters_b_v782_i,journal_issue,2018,782,,77,
Physics Letters B,physics_letters_b_v783_i,journal_issue,2018,783,,38,
Physics Letters B,physics_letters_b_v784_i,journal_issue,2018,784,,37,
Physics Letters B,physics_letters_b_v785_i,journal_issue,2018,785,,51,
Physics Letters B,physics_letters_b_v786_i,journal_issue,2018,786,,48,
Physics Letters B,physics_letters_b_v787_i,journal_issue,2018,787,,20,
Physics Letters B,physics_letters_b_v788_i,journal_issue,2018,788,,38,
Physics Letters B,physics_letters_b_v789_i,journal_issue,2018,789,,50,
Physics Letters B,physics_letters_b_v790_i,journal_issue,2019,790,,38,
Physics Letters B,physics_letters_b_v791_i,journal_issue,2019,791,,35,
Physics Letters B,physics_letters_b_v792_i,journal_issue,2019,792,,46,
Physics Letters B,physics_letters_b_v793_i,journal_issue,2019,793,,42,
Physics Letters B,physics_letters_b_v794_i,journal_issue,2019,794,,15,
Physics Letters B,physics_letters_b_v795_i,journal_issue,2019,795,,55,
Physics Letters B,physics_letters_b_v796_i,journal_issue,2019,796,,15,
Physics Letters B,physics_letters_b_v797_i,journal_issue,2019,797,,76,
