unit_id,unit_type,year,date,unit_label,unit_url
plos_biology_2005_v3_i1,journal_issue_or_year,2005,2005-01-25,"vol. 3, issue 1",https://doi.org/10.1371/image.pbio.v03.i01
plos_biology_2005_v3_i10,journal_issue_or_year,2005,2005-08-25,"vol. 3, issue 10",https://doi.org/10.1371/journal.pbio.0030312
plos_biology_2005_v3_i11,journal_issue_or_year,2005,2005-09-14,"vol. 3, issue 11",https://doi.org/10.1371/journal.pbio.0030331
plos_biology_2005_v3_i12,journal_issue_or_year,2005,2005-11-08,"vol. 3, issue 12",https://doi.org/10.1371/journal.pbio.0030401
plos_biology_2005_v3_i2,journal_issue_or_year,2005,2005-01-20,"vol. 3, issue 2",https://doi.org/10.1371/journal.pbio.0030045
plos_biology_2005_v3_i3,journal_issue_or_year,2005,2005-01-05,"vol. 3, issue 3",https://doi.org/10.1371/journal.pbio.0030066
plos_biology_2005_v3_i4,journal_issue_or_year,2005,2005-03-10,"vol. 3, issue 4",https://doi.org/10.1371/journal.pbio.0030096
plos_biology_2005_v3_i5,journal_issue_or_year,2005,2005-03-30,"vol. 3, issue 5",https://doi.org/10.1371/journal.pbio.0030128
plos_biology_2005_v3_i6,journal_issue_or_year,2005,2005-04-13,"vol. 3, issue 6",https://doi.org/10.1371/journal.pbio.0030189
plos_biology_2005_v3_i7,journal_issue_or_year,2005,2005-05-20,"vol. 3, issue 7",https://doi.org/10.1371/journal.pbio.0030201
plos_biology_2005_v3_i8,journal_issue_or_year,2005,2005-06-23,"vol. 3, issue 8",https://doi.org/10.1371/journal.pbio.0030242
plos_biology_2005_v3_i9,journal_issue_or_year,2005,2005-08-08,"vol. 3, issue 9",https://doi.org/10.1371/journal.pbio.0030283
plos_biology_2005_v4_i1,journal_issue_or_year,2005,2005-11-21,"vol. 4, issue 1",https://doi.org/10.1371/journal.pbio.0040006
plos_biology_2005_v4_i2,journal_issue_or_year,2005,2005-12-20,"vol. 4, issue 2",https://doi.org/10.1371/journal.pbio.0040031
plos_biology_2006_v4_i10,journal_issue_or_year,2006,2006-09-07,"vol. 4, issue 10",https://doi.org/10.1371/journal.pbio.0040309
plos_biology_2006_v4_i11,journal_issue_or_year,2006,2006-10-04,"vol. 4, issue 11",https://doi.org/10.1371/journal.pbio.0040348
plos_biology_2006_v4_i12,journal_issue_or_year,2006,2006-11-15,"vol. 4, issue 12",https://doi.org/10.1371/journal.pbio.0040409
plos_biology_2006_v4_i2,journal_issue_or_year,2006,2006-01-05,"vol. 4, issue 2",https://doi.org/10.1371/journal.pbio.0040021
plos_biology_2006_v4_i3,journal_issue_or_year,2006,2006-02-10,"vol. 4, issue 3",https://doi.org/10.1371/journal.pbio.0040051
plos_biology_2006_v4_i4,journal_issue_or_year,2006,2006-03-01,"vol. 4, issue 4",https://doi.org/10.1371/journal.pbio.0040103
plos_biology_2006_v4_i5,journal_issue_or_year,2006,2006-04-04,"vol. 4, issue 5",https://doi.org/10.1371/journal.pbio.0040121
plos_biology_2006_v4_i6,journal_issue_or_year,2006,2006-04-26,"vol. 4, issue 6",https://doi.org/10.1371/journal.pbio.0040147
plos_biology_2006_v4_i7,journal_issue_or_year,2006,2006-05-23,"vol. 4, issue 7",https://doi.org/10.1371/journal.pbio.0040200
plos_biology_2006_v4_i8,journal_issue_or_year,2006,2006-06-27,"vol. 4, issue 8",https://doi.org/10.1371/journal.pbio.0040242
plos_biology_2006_v4_i9,journal_issue_or_year,2006,2006-08-10,"vol. 4, issue 9",https://doi.org/10.1371/journal.pbio.0040262
plos_biology_2006_v5_i1,journal_issue_or_year,2006,2006-12-15,"vol. 5, issue 1",https://doi.org/10.1371/journal.pbio.0050005
plos_biology_2007_v5_i10,journal_issue_or_year,2007,2007-08-31,"vol. 5, issue 10",https://doi.org/10.1371/journal.pbio.0050248
plos_biology_2007_v5_i11,journal_issue_or_year,2007,2007-10-23,"vol. 5, issue 11",https://doi.org/10.1371/journal.pbio.0050290
plos_biology_2007_v5_i12,journal_issue_or_year,2007,2007-11-27,"vol. 5, issue 12",https://doi.org/10.1371/journal.pbio.0050323
plos_biology_2007_v5_i2,journal_issue_or_year,2007,2007-01-05,"vol. 5, issue 2",https://doi.org/10.1371/journal.pbio.0050021
plos_biology_2007_v5_i3,journal_issue_or_year,2007,2007-02-07,"vol. 5, issue 3",https://doi.org/10.1371/journal.pbio.0050068
plos_biology_2007_v5_i4,journal_issue_or_year,2007,2007-03-01,"vol. 5, issue 4",https://doi.org/10.1371/journal.pbio.0050071
plos_biology_2007_v5_i5,journal_issue_or_year,2007,2007-04-11,"vol. 5, issue 5",https://doi.org/10.1371/journal.pbio.0050102
plos_biology_2007_v5_i6,journal_issue_or_year,2007,2007-05-04,"vol. 5, issue 6",https://doi.org/10.1371/journal.pbio.0050137
plos_biology_2007_v5_i7,journal_issue_or_year,2007,2007-05-23,"vol. 5, issue 7",https://doi.org/10.1371/journal.pbio.0050163
plos_biology_2007_v5_i8,journal_issue_or_year,2007,2007-06-28,"vol. 5, issue 8",https://doi.org/10.1371/journal.pbio.0050202
plos_biology_2007_v5_i9,journal_issue_or_year,2007,2007-08-06,"vol. 5, issue 9",https://doi.org/10.1371/journal.pbio.0050221
plos_biology_2007_v6_i1,journal_issue_or_year,2007,2007-12-26,"vol. 6, issue 1",https://doi.org/10.1371/journal.pbio.0060001
plos_biology_2008_v6_i1,journal_issue_or_year,2008,2008-01-03,"vol. 6, issue 1",https://doi.org/10.1371/journal.pbio.0060004
plos_biology_2008_v6_i10,journal_issue_or_year,2008,2008-10-02,"vol. 6, issue 10",https://doi.org/10.1371/journal.pbio.0060245
plos_biology_2008_v6_i11,journal_issue_or_year,2008,2008-10-31,"vol. 6, issue 11",https://doi.org/10.1371/journal.pbio.0060273
plos_biology_2008_v6_i12,journal_issue_or_year,2008,2008-11-26,"vol. 6, issue 12",https://doi.org/10.1371/journal.pbio.0060301
plos_biology_2008_v6_i2,journal_issue_or_year,2008,2008-01-30,"vol. 6, issue 2",https://doi.org/10.1371/journal.pbio.0060026
plos_biology_2008_v6_i3,journal_issue_or_year,2008,2008-02-29,"vol. 6, issue 3",https://doi.org/10.1371/journal.pbio.0060050
plos_biology_2008_v6_i4,journal_issue_or_year,2008,2008-04-02,"vol. 6, issue 4",https://doi.org/10.1371/journal.pbio.0060084
plos_biology_2008_v6_i5,journal_issue_or_year,2008,2008-04-29,"vol. 6, issue 5",https://doi.org/10.1371/journal.pbio.0060105
plos_biology_2008_v6_i6,journal_issue_or_year,2008,2008-05-28,"vol. 6, issue 6",https://doi.org/10.1371/journal.pbio.0060139
plos_biology_2008_v6_i7,journal_issue_or_year,2008,2008-06-24,"vol. 6, issue 7",https://doi.org/10.1371/journal.pbio.0060161
plos_biology_2008_v6_i8,journal_issue_or_year,2008,2008-07-29,"vol. 6, issue 8",https://doi.org/10.1371/journal.pbio.0060198
plos_biology_2008_v6_i9,journal_issue_or_year,2008,2008-08-29,"vol. 6, issue 9",https://doi.org/10.1371/journal.pbio.0060214
plos_biology_2008_v7_i1,journal_issue_or_year,2008,2008-12-30,"vol. 7, issue 1",https://doi.org/10.1371/journal.pbio.1000009
plos_biology_2009_v7_i1,journal_issue_or_year,2009,2009-01-09,"vol. 7, issue 1",https://doi.org/10.1371/journal.pbio.1000013
plos_biology_2009_v7_i10,journal_issue_or_year,2009,2009-10-05,"vol. 7, issue 10",https://doi.org/10.1371/journal.pbio.1000208
plos_biology_2009_v7_i11,journal_issue_or_year,2009,2009-11-02,"vol. 7, issue 11",https://doi.org/10.1371/journal.pbio.1000235
plos_biology_2009_v7_i12,journal_issue_or_year,2009,2009-11-30,"vol. 7, issue 12",https://doi.org/10.1371/journal.pbio.1000252
plos_biology_2009_v7_i2,journal_issue_or_year,2009,2009-01-30,"vol. 7, issue 2",https://doi.org/10.1371/journal.pbio.1000029
plos_biology_2009_v7_i3,journal_issue_or_year,2009,2009-02-27,"vol. 7, issue 3",https://doi.org/10.1371/journal.pbio.1000060
plos_biology_2009_v7_i4,journal_issue_or_year,2009,2009-04-03,"vol. 7, issue 4",https://doi.org/10.1371/journal.pbio.1000086
plos_biology_2009_v7_i5,journal_issue_or_year,2009,2009-04-29,"vol. 7, issue 5",https://doi.org/10.1371/journal.pbio.1000103
plos_biology_2009_v7_i6,journal_issue_or_year,2009,2009-06-01,"vol. 7, issue 6",https://doi.org/10.1371/journal.pbio.1000121
plos_biology_2009_v7_i7,journal_issue_or_year,2009,2009-07-06,"vol. 7, issue 7",https://doi.org/10.1371/journal.pbio.1000149
plos_biology_2009_v7_i8,journal_issue_or_year,2009,2009-08-10,"vol. 7, issue 8",https://doi.org/10.1371/journal.pbio.1000169
plos_biology_2009_v7_i9,journal_issue_or_year,2009,2009-08-31,"vol. 7, issue 9",https://doi.org/10.1371/journal.pbio.1000181
plos_biology_2010_v8_i1,journal_issue_or_year,2010,2010-01-04,"vol. 8, issue 1",https://doi.org/10.1371/journal.pbio.1000276
plos_biology_2010_v8_i10,journal_issue_or_year,2010,2010-10-05,"vol. 8, issue 10",https://doi.org/10.1371/journal.pbio.1000496
plos_biology_2010_v8_i11,journal_issue_or_year,2010,2010-11-02,"vol. 8, issue 11",https://doi.org/10.1371/journal.pbio.1000527
plos_biology_2010_v8_i12,journal_issue_or_year,2010,2010-12-07,"vol. 8, issue 12",https://doi.org/10.1371/journal.pbio.1000556
plos_biology_2010_v8_i2,journal_issue_or_year,2010,2010-02-01,"vol. 8, issue 2",https://doi.org/10.1371/journal.pbio.1000302
plos_biology_2010_v8_i3,journal_issue_or_year,2010,2010-03-08,"vol. 8, issue 3",https://doi.org/10.1371/journal.pbio.1000328
plos_biology_2010_v8_i4,journal_issue_or_year,2010,2010-04-06,"vol. 8, issue 4",https://doi.org/10.1371/journal.pbio.1000350
plos_biology_2010_v8_i5,journal_issue_or_year,2010,2010-05-04,"vol. 8, issue 5",https://doi.org/10.1371/journal.pbio.1000363
plos_biology_2010_v8_i6,journal_issue_or_year,2010,2010-06-01,"vol. 8, issue 6",https://doi.org/10.1371/journal.pbio.1000388
plos_biology_2010_v8_i7,journal_issue_or_year,2010,2010-07-06,"vol. 8, issue 7",https://doi.org/10.1371/journal.pbio.1000415
plos_biology_2010_v8_i8,journal_issue_or_year,2010,2010-08-03,"vol. 8, issue 8",https://doi.org/10.1371/journal.pbio.1000442
plos_biology_2010_v8_i9,journal_issue_or_year,2010,2010-09-07,"vol. 8, issue 9",https://doi.org/10.1371/journal.pbio.1000476
plos_biology_2011_v8_i3,journal_issue_or_year,2011,2011-03-29,"vol. 8, issue 3",https://doi.org/10.1371/journal.pbio.1000605
plos_biology_2011_v9_i1,journal_issue_or_year,2011,2011-01-04,"vol. 9, issue 1",https://doi.org/10.1371/journal.pbio.1000568
plos_biology_2011_v9_i10,journal_issue_or_year,2011,2011-10-11,"vol. 9, issue 10",https://doi.org/10.1371/journal.pbio.1001170
plos_biology_2011_v9_i11,journal_issue_or_year,2011,2011-11-01,"vol. 9, issue 11",https://doi.org/10.1371/journal.pbio.1001187
plos_biology_2011_v9_i12,journal_issue_or_year,2011,2011-12-06,"vol. 9, issue 12",https://doi.org/10.1371/journal.pbio.1001213
plos_biology_2011_v9_i2,journal_issue_or_year,2011,2011-02-01,"vol. 9, issue 2",https://doi.org/10.1371/journal.pbio.1000587
plos_biology_2011_v9_i3,journal_issue_or_year,2011,2011-03-01,"vol. 9, issue 3",https://doi.org/10.1371/journal.pbio.1000596
plos_biology_2011_v9_i4,journal_issue_or_year,2011,2011-04-05,"vol. 9, issue 4",https://doi.org/10.1371/journal.pbio.1001041
plos_biology_2011_v9_i5,journal_issue_or_year,2011,2011-05-03,"vol. 9, issue 5",https://doi.org/10.1371/journal.pbio.1001059
plos_biology_2011_v9_i6,journal_issue_or_year,2011,2011-06-07,"vol. 9, issue 6",https://doi.org/10.1371/journal.pbio.1001076
plos_biology_2011_v9_i7,journal_issue_or_year,2011,2011-07-05,"vol. 9, issue 7",https://doi.org/10.1371/journal.pbio.1001094
plos_biology_2011_v9_i8,journal_issue_or_year,2011,2011-08-02,"vol. 9, issue 8",https://doi.org/10.1371/journal.pbio.1001117
plos_biology_2011_v9_i9,journal_issue_or_year,2011,2011-09-06,"vol. 9, issue 9",https://doi.org/10.1371/journal.pbio.1001143
plos_biology_2012_v10,journal_issue_or_year,2012,2012-02-07,vol. 10,https://www.cardioscience.ox.ac.uk/publications/309075
plos_biology_2012_v10_i1,journal_issue_or_year,2012,2012-01-03,"vol. 10, issue 1",https://doi.org/10.1371/journal.pbio.1001231
plos_biology_2012_v10_i10,journal_issue_or_year,2012,2012-10-09,"vol. 10, issue 10",https://doi.org/10.1371/journal.pbio.1001402
plos_biology_2012_v10_i11,journal_issue_or_year,2012,2012-11-20,"vol. 10, issue 11",https://doi.org/10.1371/journal.pbio.1001425
plos_biology_2012_v10_i12,journal_issue_or_year,2012,2012-12-04,"vol. 10, issue 12",https://doi.org/10.1371/journal.pbio.1001440
plos_biology_2012_v10_i2,journal_issue_or_year,2012,2012-02-07,"vol. 10, issue 2",https://doi.org/10.1371/journal.pbio.1001255
plos_biology_2012_v10_i3,journal_issue_or_year,2012,2012-03-06,"vol. 10, issue 3",https://doi.org/10.1371/journal.pbio.1001281
plos_biology_2012_v10_i4,journal_issue_or_year,2012,2012-04-03,"vol. 10, issue 4",https://doi.org/10.1371/journal.pbio.1001299
plos_biology_2012_v10_i5,journal_issue_or_year,2012,2012-05-01,"vol. 10, issue 5",https://doi.org/10.1371/journal.pbio.1001320
plos_biology_2012_v10_i6,journal_issue_or_year,2012,2012-06-05,"vol. 10, issue 6",https://doi.org/10.1371/journal.pbio.1001337
plos_biology_2012_v10_i7,journal_issue_or_year,2012,2012-07-03,"vol. 10, issue 7",https://doi.org/10.1371/journal.pbio.1001357
plos_biology_2012_v10_i8,journal_issue_or_year,2012,2012-08-07,"vol. 10, issue 8",https://doi.org/10.1371/journal.pbio.1001367
plos_biology_2012_v10_i9,journal_issue_or_year,2012,2012-09-04,"vol. 10, issue 9",https://doi.org/10.1371/journal.pbio.1001386
plos_biology_2013_v11_i1,journal_issue_or_year,2013,2013-01-03,"vol. 11, issue 1",https://doi.org/10.1371/journal.pbio.1001455
plos_biology_2013_v11_i10,journal_issue_or_year,2013,2013-10-01,"vol. 11, issue 10",https://doi.org/10.1371/journal.pbio.1001670
plos_biology_2013_v11_i11,journal_issue_or_year,2013,2013-11-05,"vol. 11, issue 11",https://doi.org/10.1371/journal.pbio.1001703
plos_biology_2013_v11_i12,journal_issue_or_year,2013,2013-12-03,"vol. 11, issue 12",https://doi.org/10.1371/journal.pbio.1001725
plos_biology_2013_v11_i2,journal_issue_or_year,2013,2013-02-12,"vol. 11, issue 2",https://doi.org/10.1371/journal.pbio.1001478
plos_biology_2013_v11_i3,journal_issue_or_year,2013,2013-03-05,"vol. 11, issue 3",https://doi.org/10.1371/journal.pbio.1001501
plos_biology_2013_v11_i4,journal_issue_or_year,2013,2013-04-02,"vol. 11, issue 4",https://doi.org/10.1371/journal.pbio.1001527
plos_biology_2013_v11_i5,journal_issue_or_year,2013,2013-05-07,"vol. 11, issue 5",https://doi.org/10.1371/journal.pbio.1001557
plos_biology_2013_v11_i6,journal_issue_or_year,2013,2013-06-04,"vol. 11, issue 6",https://doi.org/10.1371/journal.pbio.1001577
plos_biology_2013_v11_i7,journal_issue_or_year,2013,2013-07-02,"vol. 11, issue 7",https://doi.org/10.1371/journal.pbio.1001597
plos_biology_2013_v11_i8,journal_issue_or_year,2013,2013-08-06,"vol. 11, issue 8",https://doi.org/10.1371/journal.pbio.1001621
plos_biology_2013_v11_i9,journal_issue_or_year,2013,2013-09-03,"vol. 11, issue 9",https://doi.org/10.1371/journal.pbio.1001647
plos_biology_2014_v12_i1,journal_issue_or_year,2014,2014-01-07,"vol. 12, issue 1",https://doi.org/10.1371/journal.pbio.1001747
plos_biology_2014_v12_i10,journal_issue_or_year,2014,2014-10-07,"vol. 12, issue 10",https://doi.org/10.1371/journal.pbio.1001962
plos_biology_2014_v12_i11,journal_issue_or_year,2014,2014-11-04,"vol. 12, issue 11",https://doi.org/10.1371/journal.pbio.1001985
plos_biology_2014_v12_i12,journal_issue_or_year,2014,2014-12-02,"vol. 12, issue 12",https://doi.org/10.1371/journal.pbio.1002011
plos_biology_2014_v12_i2,journal_issue_or_year,2014,2014-02-04,"vol. 12, issue 2",https://doi.org/10.1371/journal.pbio.1001781
plos_biology_2014_v12_i3,journal_issue_or_year,2014,2014-03-04,"vol. 12, issue 3",https://doi.org/10.1371/journal.pbio.1001806
plos_biology_2014_v12_i4,journal_issue_or_year,2014,2014-04-08,"vol. 12, issue 4",https://doi.org/10.1371/journal.pbio.1001835
plos_biology_2014_v12_i5,journal_issue_or_year,2014,2014-05-06,"vol. 12, issue 5",https://doi.org/10.1371/journal.pbio.1001852
plos_biology_2014_v12_i6,journal_issue_or_year,2014,2014-06-03,"vol. 12, issue 6",https://doi.org/10.1371/journal.pbio.1001874
plos_biology_2014_v12_i7,journal_issue_or_year,2014,2014-07-01,"vol. 12, issue 7",https://doi.org/10.1371/journal.pbio.1001900
plos_biology_2014_v12_i8,journal_issue_or_year,2014,2014-08-05,"vol. 12, issue 8",https://doi.org/10.1371/journal.pbio.1001923
plos_biology_2014_v12_i9,journal_issue_or_year,2014,2014-09-09,"vol. 12, issue 9",https://doi.org/10.1371/journal.pbio.1001945
