source,page_index,archive_url,status_code,content_type,n_results,request_time
PLOS Computational Biology,1,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=%2A&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:00.477819+00:00
PLOS Computational Biology,2,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTA0NTM3NjAwMDAwLCA5NC4wLCAxLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIwMzg4NTkyNzInXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:01.969634+00:00
PLOS Computational Biology,3,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTM2MDczNjAwMDAwLCAxMDAuMCwgMTUwLCAnaHR0cHM6Ly9vcGVuYWxleC5vcmcvVzIxMDQ3MDQzNjgnXSI%3D&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:03.437039+00:00
PLOS Computational Biology,4,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTcwNzIwMDAwMDAwLCA5OS4wLCA1NiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTc4OTQzMzg1J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:05.056614+00:00
PLOS Computational Biology,5,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMTk3MjQ0ODAwMDAwLCA5OS4wLCA2OSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDMzODQ4OTk5J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:06.657282+00:00
PLOS Computational Biology,6,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjE4NjcyMDAwMDAwLCA5OS4wLCA1NiwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTUzNDA3MzcyJ10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:08.409392+00:00
PLOS Computational Biology,7,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjM3NDIwODAwMDAwLCA5OS4wLCA0NywgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDkxMDg0MDM3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:10.033631+00:00
PLOS Computational Biology,8,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjUyNTQwODAwMDAwLCA5OC4wLCAyNCwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMTIyOTIwNjc0J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:11.833970+00:00
PLOS Computational Biology,9,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjY3MTQyNDAwMDAwLCA5OC4wLCAzMSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cyMDU5MzU4OTI5J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:13.531531+00:00
PLOS Computational Biology,10,https://api.openalex.org/works?filter=primary_location.source.id%3Ahttps%3A%2F%2Fopenalex.org%2FS86033158%2Cto_publication_date%3A2025-12-31&per-page=200&cursor=IlsxMjgwOTY2NDAwMDAwLCA5Ny4wLCAyMSwgJ2h0dHBzOi8vb3BlbmFsZXgub3JnL1cxOTkzNTQzOTk3J10i&select=id%2Cdoi%2Cdisplay_name%2Cpublication_year%2Cpublication_date%2Ctype%2Cauthorships%2Cprimary_location%2Copen_access%2Cconcepts%2Creferenced_works_count%2Ccited_by_count%2Cbiblio&sort=publication_date%3Aasc,200,application/json,200,2026-06-20T18:46:15.164468+00:00
