source,unit_id,unit_type,year,unit_date,unit_label,unit_url,n_items_total
PLOS Computational Biology,plos_computational_biology_1911_v4_i11,journal_issue,1911,1911-01-01,"vol. 4, issue 11",http://dspace.library.uu.nl/handle/1874/226705,1
PLOS Computational Biology,plos_computational_biology_1961_v12_i3,journal_issue,1961,1961-08-01,"vol. 12, issue 3",https://wiredspace.wits.ac.za/bitstream/10539/16077/1/1961.v7.GRAAFF.INVESTIGATION%20OF%20MAMMALIAN%20MICROFAUNA%20IN%20PLEISTOCENE%20DEPOSITS%20IN%20TRANSVAAL%20SYSTEM.pdf,1
PLOS Computational Biology,plos_computational_biology_1970_v12_i4,journal_issue,1970,1970-03-01,"vol. 12, issue 4",https://files.eric.ed.gov/fulltext/ED039104.pdf,1
PLOS Computational Biology,plos_computational_biology_1974_v17_i11,journal_issue,1974,1974-04-01,"vol. 17, issue 11",https://files.eric.ed.gov/fulltext/ED088810.pdf,1
PLOS Computational Biology,plos_computational_biology_1979_v1_i3,journal_issue,1979,1979-01-01,"vol. 1, issue 3",https://eric.ed.gov/?id=ED224587,1
PLOS Computational Biology,plos_computational_biology_1980_v22_i9,journal_issue,1980,1980-01-01,"vol. 22, issue 9",https://www.cabdirect.org/cabdirect/abstract/19812265019,1
PLOS Computational Biology,plos_computational_biology_1984_v8_i10,journal_issue,1984,1984-01-01,"vol. 8, issue 10",https://www.scholars.northwestern.edu/en/publications/indexing-and-causality-the-organization-of-plans-and-strategies-i,1
PLOS Computational Biology,plos_computational_biology_1987_v29_i8,journal_issue,1987,1987-01-01,"vol. 29, issue 8",http://archives.datapages.com/data/HGS/vol29/no08/images/vol29no8p10.pdf,1
PLOS Computational Biology,plos_computational_biology_1988_v13_i4,journal_issue,1988,1988-01-01,"vol. 13, issue 4",http://arizona.openrepository.com/arizona/handle/10150/215834,1
PLOS Computational Biology,plos_computational_biology_1989_v11_i9,journal_issue,1989,1989-01-01,"vol. 11, issue 9",https://www.cabdirect.org/abstracts/19900733318.html,1
PLOS Computational Biology,plos_computational_biology_1989_v13_i30,journal_issue,1989,1989-01-01,"vol. 13, issue 30",https://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_20-21/27208.pdf,1
PLOS Computational Biology,plos_computational_biology_1992_v3_i1,journal_issue,1992,1992-03-13,"vol. 3, issue 1",https://dblp.uni-trier.de/db/conf/ifip10-2/ifip10-2-1992.html#Berg92,1
PLOS Computational Biology,plos_computational_biology_1994_v2_i10,journal_issue,1994,1994-01-01,"vol. 2, issue 10",https://www.cabdirect.org/abstracts/19951804166.html,1
PLOS Computational Biology,plos_computational_biology_1994_v9_i3,journal_issue,1994,1994-01-01,"vol. 9, issue 3",http://www.theses.fr/1994EHES0098,1
PLOS Computational Biology,plos_computational_biology_1996_v13_i11,journal_issue,1996,1996-01-01,"vol. 13, issue 11",http://ecite.utas.edu.au/7464,1
PLOS Computational Biology,plos_computational_biology_1996_v17_i11,journal_issue,1996,1996-01-01,"vol. 17, issue 11",http://dl.acm.org/citation.cfm?id=923260,1
PLOS Computational Biology,plos_computational_biology_1996_v1_i6,journal_issue,1996,1996-04-01,"vol. 1, issue 6",https://files.eric.ed.gov/fulltext/ED401917.pdf,1
PLOS Computational Biology,plos_computational_biology_1996_v5_i3,journal_issue,1996,1996-01-01,"vol. 5, issue 3",https://mro.massey.ac.nz/handle/10179/3931,1
PLOS Computational Biology,plos_computational_biology_1999_v17_i2,journal_issue,1999,1999-01-01,"vol. 17, issue 2",http://www.theses.fr/1999PA010657,1
PLOS Computational Biology,plos_computational_biology_1999_v6_i6,journal_issue,1999,1999-01-01,"vol. 6, issue 6",http://www.theses.fr/1999PA066679,1
PLOS Computational Biology,plos_computational_biology_2001_v15_i6,journal_issue,2001,2001-01-01,"vol. 15, issue 6",http://kb.osu.edu/dspace/handle/1811/20087,1
PLOS Computational Biology,plos_computational_biology_2001_v19_i1,journal_issue,2001,2001-01-01,"vol. 19, issue 1",http://dspace.library.uu.nl/handle/1874/211230,1
PLOS Computational Biology,plos_computational_biology_2001_v9_i4,journal_issue,2001,2001-01-01,"vol. 9, issue 4",https://eric.ed.gov/?id=ED453180,1
PLOS Computational Biology,plos_computational_biology_2002_v12_i2,journal_issue,2002,2002-01-01,"vol. 12, issue 2",http://oru.diva-portal.org/smash/record.jsf?pid=diva2:1289232,1
PLOS Computational Biology,plos_computational_biology_2002_v8_i5,journal_issue,2002,2002-01-01,"vol. 8, issue 5",https://epic.awi.de/7427/,1
PLOS Computational Biology,plos_computational_biology_2003_v16_i2,journal_issue,2003,2003-01-01,"vol. 16, issue 2",https://www.aaai.org/Papers/Symposia/Spring/2003/SS-03-06/SS03-06-026.pdf,1
PLOS Computational Biology,plos_computational_biology_2003_v20_i6,journal_issue,2003,2003-01-01,"vol. 20, issue 6",https://publicatt.unicatt.it/handle/10807/14765?mode=full.18,1
PLOS Computational Biology,plos_computational_biology_2003_v4_i4,journal_issue,2003,2003-01-01,"vol. 4, issue 4",https://www.lume.ufrgs.br/handle/10183/74997,1
PLOS Computational Biology,plos_computational_biology_2004_v10_i3,journal_issue,2004,2004-01-01,"vol. 10, issue 3",http://srodev.sussex.ac.uk/id/eprint/42253/,1
PLOS Computational Biology,plos_computational_biology_2004_v14_i9,journal_issue,2004,2004-01-01,"vol. 14, issue 9",https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1034&context=metropolitianstudies,1
PLOS Computational Biology,plos_computational_biology_2004_v16_i9,journal_issue,2004,2004-01-01,"vol. 16, issue 9",https://pub.uni-bielefeld.de/publication/2435211,1
PLOS Computational Biology,plos_computational_biology_2004_v1_i6,journal_issue,2004,2004-01-01,"vol. 1, issue 6",https://espace.library.uq.edu.au/view/UQ:193475,1
PLOS Computational Biology,plos_computational_biology_2005_v14_i5,journal_issue,2005,2005-01-01,"vol. 14, issue 5",https://epub.uni-regensburg.de/10334,1
PLOS Computational Biology,plos_computational_biology_2005_v16_i10,journal_issue,2005,2005-01-01,"vol. 16, issue 10",https://www.researchgate.net/profile/Venera_GHULYAN-BEDIKIAN/publication/238789047_Posturography_for_evaluating_risk_of_falls_in_elderly_unstable_patients/links/0deec52aa0ae2aacdf000000.pdf,1
PLOS Computational Biology,plos_computational_biology_2005_v18_i2,journal_issue,2005,2005-01-01,"vol. 18, issue 2",https://www.cabdirect.org/abstracts/20063104955.html,1
PLOS Computational Biology,plos_computational_biology_2005_v19_i12,journal_issue,2005,2005-01-01,"vol. 19, issue 12",http://www.irgrid.ac.cn/handle/1471x/786992,1
