source,unit_id,unit_type,year,date,unit_label,title,authors,doi,pmid,pmcid,openalex_id,cited_by_count,referenced_works_count,oa_status,landing_page_url,candidate_pdf_urls,field_match,field_match_evidence
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,A Computational Framework for 3D Mechanical Modeling of Plant Morphogenesis with Cellular Resolution,Frédéric Boudon; Jérôme Chopard; Olivier Ali; Benjamin Gilles; Olivier Hamant; Arezki Boudaoud; Jan Traas; Christophe Godin,10.1371/journal.pcbi.1003950,25569615,,https://openalex.org/W1999268253,149,47,gold,https://doi.org/10.1371/journal.pcbi.1003950,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003950&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,Modulation of Elementary Calcium Release Mediates a Transition from Puffs to Waves in an IP3R Cluster Model,Martin Rückl; Ian Parker; Jonathan S. Marchant; Chamakuri Nagaiah; Friedrich W. Johenning; Sten Rüdiger,10.1371/journal.pcbi.1003965,25569772,,https://openalex.org/W2144666467,27,61,gold,https://doi.org/10.1371/journal.pcbi.1003965,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003965&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,Simulating the Complex Cell Design of Trypanosoma brucei and Its Motility,Davod Alizadehrad; Timothy Krüger; Markus Engstler; Holger Stark,10.1371/journal.pcbi.1003967,25569823,,https://openalex.org/W2025005952,63,66,gold,https://doi.org/10.1371/journal.pcbi.1003967,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003967&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,Bayesian History Matching of Complex Infectious Disease Models Using Emulation: A Tutorial and a Case Study on HIV in Uganda,Ioannis Andrianakis; Ian Vernon; Nicky McCreesh; Trevelyan J. McKinley; Jeremy E. Oakley; Rebecca N. Nsubuga; Michael Goldstein; Richard G. White,10.1371/journal.pcbi.1003968,25569850,,https://openalex.org/W1967579272,191,62,gold,https://doi.org/10.1371/journal.pcbi.1003968,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003968&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,Mapping the Pareto Optimal Design Space for a Functionally Deimmunized Biotherapeutic Candidate,Regina Salvat; Andrew S. Parker; Yoonjoo Choi; Chris Bailey‐Kellogg; Karl E. Griswold,10.1371/journal.pcbi.1003988,25568954,,https://openalex.org/W2064387441,24,48,gold,https://doi.org/10.1371/journal.pcbi.1003988,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1003988&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-22,vol11_issue1,A Probabilistic Palimpsest Model of Visual Short-term Memory,Löıc Matthey; Paul M. Bays; Peter Dayan,10.1371/journal.pcbi.1004003,25611204,,https://openalex.org/W2093600849,55,91,gold,https://doi.org/10.1371/journal.pcbi.1004003,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004003&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,Systems Level Analysis of Systemic Sclerosis Shows a Network of Immune and Profibrotic Pathways Connected with Genetic Polymorphisms,J. Matthew Mahoney; Jaclyn Taroni; Viktor Martyanov; Tammara Wood; Casey S. Greene; Patricia A. Pioli; Monique Hinchcliff; Michael L. Whitfield,10.1371/journal.pcbi.1004005,25569146,,https://openalex.org/W1966579788,152,109,gold,https://doi.org/10.1371/journal.pcbi.1004005,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004005&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,A RESTful API for Accessing Microbial Community Data for MG-RAST,Andreas Wilke; Jared Bischof; Travis Harrison; Tom Brettin; Mark D’Souza; Wolfgang Gerlach; Hunter Matthews; Tobias Paczian; et al.,10.1371/journal.pcbi.1004008,25569221,,https://openalex.org/W1997787178,74,12,gold,https://doi.org/10.1371/journal.pcbi.1004008,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004008&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,150 Years of the Mass Action Law,Eberhard O. Voit; Harald Martens; Stig W. Omholt,10.1371/journal.pcbi.1004012,25569257,,https://openalex.org/W2003049033,185,50,gold,https://doi.org/10.1371/journal.pcbi.1004012,http://hdl.handle.net/11250/2628151 | https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004012&type=printable,yes,source_specific
PLOS Computational Biology,vol11_issue1,journal_issue,2015,2015-01-08,vol11_issue1,What Makes a Protein Sequence a Prion?,Raimon Sabaté; Frédéric Rousseau; Joost Schymkowitz; Salvador Ventura,10.1371/journal.pcbi.1004013,25569335,,https://openalex.org/W2058746325,94,44,gold,https://doi.org/10.1371/journal.pcbi.1004013,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004013&type=printable,yes,source_specific
