source,unit_id,unit_type,year,unit_label,unit_url,n_items_total,n_items_eligible
PLOS Computational Biology,vol11_issue1,journal_issue,2015,vol11_issue1,,30,30
PLOS Computational Biology,vol11_issue10,journal_issue,2015,vol11_issue10,,81,81
PLOS Computational Biology,vol11_issue11,journal_issue,2015,vol11_issue11,,61,61
PLOS Computational Biology,vol11_issue12,journal_issue,2015,vol11_issue12,,60,60
PLOS Computational Biology,vol11_issue2,journal_issue,2015,vol11_issue2,,42,42
PLOS Computational Biology,vol11_issue3,journal_issue,2015,vol11_issue3,,49,49
PLOS Computational Biology,vol11_issue4,journal_issue,2015,vol11_issue4,,60,60
PLOS Computational Biology,vol11_issue5,journal_issue,2015,vol11_issue5,,44,44
PLOS Computational Biology,vol11_issue6,journal_issue,2015,vol11_issue6,,42,42
PLOS Computational Biology,vol11_issue7,journal_issue,2015,vol11_issue7,,36,36
PLOS Computational Biology,vol11_issue8,journal_issue,2015,vol11_issue8,,52,52
PLOS Computational Biology,vol11_issue9,journal_issue,2015,vol11_issue9,,44,44
PLOS Computational Biology,vol12_issue1,journal_issue,2016,vol12_issue1,,40,40
PLOS Computational Biology,vol12_issue10,journal_issue,2016,vol12_issue10,,41,41
PLOS Computational Biology,vol12_issue11,journal_issue,2016,vol12_issue11,,45,45
PLOS Computational Biology,vol12_issue12,journal_issue,2016,vol12_issue12,,58,58
PLOS Computational Biology,vol12_issue2,journal_issue,2016,vol12_issue2,,51,51
PLOS Computational Biology,vol12_issue3,journal_issue,2016,vol12_issue3,,46,46
PLOS Computational Biology,vol12_issue4,journal_issue,2016,vol12_issue4,,58,58
PLOS Computational Biology,vol12_issue5,journal_issue,2016,vol12_issue5,,42,42
PLOS Computational Biology,vol12_issue6,journal_issue,2016,vol12_issue6,,63,63
PLOS Computational Biology,vol12_issue7,journal_issue,2016,vol12_issue7,,36,36
PLOS Computational Biology,vol12_issue8,journal_issue,2016,vol12_issue8,,40,40
PLOS Computational Biology,vol12_issue9,journal_issue,2016,vol12_issue9,,42,42
PLOS Computational Biology,vol13_issue1,journal_issue,2017,vol13_issue1,,64,64
PLOS Computational Biology,vol13_issue10,journal_issue,2017,vol13_issue10,,61,61
PLOS Computational Biology,vol13_issue11,journal_issue,2017,vol13_issue11,,40,40
PLOS Computational Biology,vol13_issue12,journal_issue,2017,vol13_issue12,,35,35
PLOS Computational Biology,vol13_issue2,journal_issue,2017,vol13_issue2,,46,46
PLOS Computational Biology,vol13_issue3,journal_issue,2017,vol13_issue3,,43,43
PLOS Computational Biology,vol13_issue4,journal_issue,2017,vol13_issue4,,42,42
PLOS Computational Biology,vol13_issue5,journal_issue,2017,vol13_issue5,,46,46
PLOS Computational Biology,vol13_issue6,journal_issue,2017,vol13_issue6,,52,52
PLOS Computational Biology,vol13_issue7,journal_issue,2017,vol13_issue7,,55,55
PLOS Computational Biology,vol13_issue8,journal_issue,2017,vol13_issue8,,37,37
PLOS Computational Biology,vol13_issue9,journal_issue,2017,vol13_issue9,,43,43
PLOS Computational Biology,vol14_issue1,journal_issue,2018,vol14_issue1,,46,46
PLOS Computational Biology,vol14_issue10,journal_issue,2018,vol14_issue10,,43,43
PLOS Computational Biology,vol14_issue11,journal_issue,2018,vol14_issue11,,44,44
PLOS Computational Biology,vol14_issue12,journal_issue,2018,vol14_issue12,,48,48
PLOS Computational Biology,vol14_issue2,journal_issue,2018,vol14_issue2,,47,47
PLOS Computational Biology,vol14_issue3,journal_issue,2018,vol14_issue3,,56,56
PLOS Computational Biology,vol14_issue4,journal_issue,2018,vol14_issue4,,56,56
PLOS Computational Biology,vol14_issue5,journal_issue,2018,vol14_issue5,,40,40
PLOS Computational Biology,vol14_issue6,journal_issue,2018,vol14_issue6,,45,45
PLOS Computational Biology,vol14_issue7,journal_issue,2018,vol14_issue7,,39,39
