page_index,source_url,result_count,raw_num_found
1,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=0&wt=json,500,8912
2,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=500&wt=json,500,8912
3,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=1000&wt=json,500,8912
4,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=1500&wt=json,500,8912
5,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=2000&wt=json,500,8912
6,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=2500&wt=json,500,8912
7,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=3000&wt=json,500,8912
8,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=3500&wt=json,500,8912
9,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=4000&wt=json,500,8912
10,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=4500&wt=json,500,8912
11,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=5000&wt=json,500,8912
12,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=5500&wt=json,500,8912
13,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=6000&wt=json,500,8912
14,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=6500&wt=json,500,8912
15,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=7000&wt=json,500,8912
16,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=7500&wt=json,500,8912
17,https://api.plos.org/search?q=journal%3A%22PLOS+Medicine%22+AND+article_type%3A%22Research+Article%22&fq=publication_date%3A%5B2005-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Cjournal%2Cpublication_date%2Carticle_type%2Cauthor%2Cvolume%2Cissue&rows=500&start=8000&wt=json,500,8912
