source,unit_id,unit_type,year,unit_date,unit_label,unit_url,landing_page_url,source_url,title,summary,authors,oa_marker,pdf_url,doi,openalex_id,source_item_id,paper_type,venue_section,concepts,referenced_works_count,cited_by_count
PLOS Medicine,plos_medicine_2005_v2_i1,journal_issue,2005,2005-01-25,"vol. 2, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020006,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,Climate Drives the Meningitis Epidemics Onset in West Africa,,Benjamin Sultan; Karima Labadi; Jean-François Guégan; Serge Janicot,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020006&type=printable,10.1371/journal.pmed.0020006,,10.1371/journal.pmed.0020006,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i1,journal_issue,2005,2005-01-25,"vol. 2, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020015,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,Are Anticapsular Antibodies the Primary Mechanism of Protection against Invasive Pneumococcal Disease?,,Marc Lipsitch; Cynthia G Whitney; Elizabeth Zell; Tarja Kaijalainen; Ron Dagan; et al.,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020015&type=printable,10.1371/journal.pmed.0020015,,10.1371/journal.pmed.0020015,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i1,journal_issue,2005,2005-01-11,"vol. 2, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020016,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,Integrating HIV Prevention and Treatment: From Slogans to Impact,,Joshua A Salomon; Daniel R Hogan; John Stover; Karen A Stanecki; Neff Walker; et al.,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020016&type=printable,10.1371/journal.pmed.0020016,,10.1371/journal.pmed.0020016,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i1,journal_issue,2005,2005-01-25,"vol. 2, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020017,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,KRAS Mutations and Primary Resistance of Lung Adenocarcinomas to Gefitinib or Erlotinib,,William Pao; Theresa Y Wang; Gregory J Riely; Vincent A Miller; Qiulu Pan; et al.,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020017&type=printable,10.1371/journal.pmed.0020017,,10.1371/journal.pmed.0020017,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i1,journal_issue,2005,2005-01-11,"vol. 2, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020018,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i01,Modulation of Statin-Activated Shedding of Alzheimer APP Ectodomain by ROCK,,Steve Pedrini; Troy L Carter; George Prendergast; Suzana Petanceska; Michelle E Ehrlich; et al.,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020018&type=printable,10.1371/journal.pmed.0020018,,10.1371/journal.pmed.0020018,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i2,journal_issue,2005,2005-02-22,"vol. 2, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020037,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,Individual Level Injection History: A Lack of Association with HIV Incidence in Rural Zimbabwe,,Ben A Lopman; Geoff P Garnett; Peter R Mason; Simon Gregson,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020037&type=printable,10.1371/journal.pmed.0020037,,10.1371/journal.pmed.0020037,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i2,journal_issue,2005,2005-02-22,"vol. 2, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020038,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,Use of Procalcitonin and C-Reactive Protein to Evaluate Vaccine Efficacy against Pneumonia,,Shabir A Madhi; Jayvant R Heera; Locadiah Kuwanda; Keith P Klugman,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020038&type=printable,10.1371/journal.pmed.0020038,,10.1371/journal.pmed.0020038,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i2,journal_issue,2005,2005-02-22,"vol. 2, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020043,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,SARS Transmission Pattern in Singapore Reassessed by Viral Sequence Variation Analysis,,Jianjun Liu; Siew Lan Lim; Yijun Ruan; Ai Ee Ling; Lisa F P Ng; et al.,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020043&type=printable,10.1371/journal.pmed.0020043,,10.1371/journal.pmed.0020043,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i2,journal_issue,2005,2005-02-22,"vol. 2, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020045,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,Multiple Metabolic Hits Converge on CD36 as Novel Mediator of Tubular Epithelial Apoptosis in Diabetic Nephropathy,,Katalin Susztak; Emilio Ciccone; Peter McCue; Kumar Sharma; Erwin P Böttinger,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020045&type=printable,10.1371/journal.pmed.0020045,,10.1371/journal.pmed.0020045,Research Article,PLOS API article_type: Research Article,,,
PLOS Medicine,plos_medicine_2005_v2_i2,journal_issue,2005,2005-02-22,"vol. 2, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0020050,https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v02.i02,Designing Equitable Antiretroviral Allocation Strategies in Resource-Constrained Countries,,David P Wilson; Sally M Blower,gold;source_known_oa;plos_research_article,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0020050&type=printable,10.1371/journal.pmed.0020050,,10.1371/journal.pmed.0020050,Research Article,PLOS API article_type: Research Article,,,
