unit_id,unit_type,year,date,unit_label,unit_url
plos_medicine_2015_v12_i1,journal_issue,2015,2015-01-06,"vol. 12, issue 1",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i01
plos_medicine_2015_v12_i10,journal_issue,2015,2015-10-06,"vol. 12, issue 10",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i10
plos_medicine_2015_v12_i11,journal_issue,2015,2015-11-03,"vol. 12, issue 11",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i11
plos_medicine_2015_v12_i12,journal_issue,2015,2015-12-01,"vol. 12, issue 12",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i12
plos_medicine_2015_v12_i2,journal_issue,2015,2015-02-03,"vol. 12, issue 2",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i02
plos_medicine_2015_v12_i3,journal_issue,2015,2015-03-03,"vol. 12, issue 3",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i03
plos_medicine_2015_v12_i4,journal_issue,2015,2015-04-07,"vol. 12, issue 4",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i04
plos_medicine_2015_v12_i5,journal_issue,2015,2015-05-12,"vol. 12, issue 5",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i05
plos_medicine_2015_v12_i6,journal_issue,2015,2015-06-02,"vol. 12, issue 6",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i06
plos_medicine_2015_v12_i7,journal_issue,2015,2015-07-07,"vol. 12, issue 7",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i07
plos_medicine_2015_v12_i8,journal_issue,2015,2015-08-04,"vol. 12, issue 8",https://journals.plos.org/plosmedicine/issue?id=10.1371/issue.pmed.v12.i08
