page_index,source_url,result_count,num_found,start
0,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=0&wt=json,500,7867,0
1,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=500&wt=json,500,7867,500
2,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=1000&wt=json,500,7867,1000
3,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=1500&wt=json,500,7867,1500
4,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=2000&wt=json,500,7867,2000
5,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=2500&wt=json,500,7867,2500
6,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=3000&wt=json,500,7867,3000
7,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=3500&wt=json,500,7867,3500
8,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=4000&wt=json,500,7867,4000
9,https://api.plos.org/search?q=journal%3A%22PLOS+ONE%22+AND+article_type%3A%22Research+Article%22+AND+subject%3A%22Cognitive+psychology%22+AND+doc_type%3Afull&fq=publication_date%3A%5B2006-01-01T00%3A00%3A00Z+TO+2014-12-31T23%3A59%3A59Z%5D&fl=id%2Ctitle%2Cpublication_date%2Carticle_type%2Cauthor%2Csubject%2Cvolume%2Cissue%2Cdoc_type&rows=500&start=4500&wt=json,500,7867,4500
