unit_id,unit_type,year,date,unit_label,unit_url
plos_one_v01_i01,official_journal_issue,2006,2006-12-20,"vol. 1, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v01.i01
plos_one_v02_i01,official_journal_issue,2007,2007-01-31,"vol. 2, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i01
plos_one_v02_i02,official_journal_issue,2007,2007-02-28,"vol. 2, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i02
plos_one_v02_i03,official_journal_issue,2007,2007-03-28,"vol. 2, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i03
plos_one_v02_i04,official_journal_issue,2007,2007-04-04,"vol. 2, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i04
plos_one_v02_i05,official_journal_issue,2007,2007-05-02,"vol. 2, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i05
plos_one_v02_i06,official_journal_issue,2007,2007-06-27,"vol. 2, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i06
plos_one_v02_i07,official_journal_issue,2007,2007-07-25,"vol. 2, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i07
plos_one_v02_i08,official_journal_issue,2007,2007-08-15,"vol. 2, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i08
plos_one_v02_i09,official_journal_issue,2007,2007-09-12,"vol. 2, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i09
plos_one_v02_i10,official_journal_issue,2007,2007-10-31,"vol. 2, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i10
plos_one_v02_i11,official_journal_issue,2007,2007-11-28,"vol. 2, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i11
plos_one_v02_i12,official_journal_issue,2007,2007-12-05,"vol. 2, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v02.i12
plos_one_v03_i01,official_journal_issue,2008,2008-01-30,"vol. 3, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i01
plos_one_v03_i02,official_journal_issue,2008,2008-02-27,"vol. 3, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i02
plos_one_v03_i03,official_journal_issue,2008,2008-03-26,"vol. 3, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i03
plos_one_v03_i04,official_journal_issue,2008,2008-04-23,"vol. 3, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i04
plos_one_v03_i05,official_journal_issue,2008,2008-05-28,"vol. 3, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i05
plos_one_v03_i06,official_journal_issue,2008,2008-06-11,"vol. 3, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i06
plos_one_v03_i07,official_journal_issue,2008,2008-07-09,"vol. 3, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i07
plos_one_v03_i08,official_journal_issue,2008,2008-08-06,"vol. 3, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i08
plos_one_v03_i09,official_journal_issue,2008,2008-09-12,"vol. 3, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i09
plos_one_v03_i10,official_journal_issue,2008,2008-10-24,"vol. 3, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i10
plos_one_v03_i11,official_journal_issue,2008,2008-11-24,"vol. 3, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i11
plos_one_v03_i12,official_journal_issue,2008,2008-12-18,"vol. 3, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v03.i12
plos_one_v04_i01,official_journal_issue,2009,2009-01-21,"vol. 4, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i01
plos_one_v04_i02,official_journal_issue,2009,2009-02-25,"vol. 4, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i02
plos_one_v04_i03,official_journal_issue,2009,2009-03-16,"vol. 4, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i03
plos_one_v04_i04,official_journal_issue,2009,2009-04-22,"vol. 4, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i04
plos_one_v04_i05,official_journal_issue,2009,2009-05-20,"vol. 4, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i05
plos_one_v04_i06,official_journal_issue,2009,2009-06-22,"vol. 4, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i06
plos_one_v04_i07,official_journal_issue,2009,2009-07-21,"vol. 4, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i07
plos_one_v04_i08,official_journal_issue,2009,2009-08-21,"vol. 4, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i08
plos_one_v04_i09,official_journal_issue,2009,2009-09-29,"vol. 4, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i09
plos_one_v04_i10,official_journal_issue,2009,2009-10-13,"vol. 4, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i10
plos_one_v04_i11,official_journal_issue,2009,2009-11-11,"vol. 4, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i11
plos_one_v04_i12,official_journal_issue,2009,2009-12-02,"vol. 4, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v04.i12
plos_one_v05_i01,official_journal_issue,2010,2010-01-29,"vol. 5, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i01
plos_one_v05_i02,official_journal_issue,2010,2010-02-18,"vol. 5, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i02
plos_one_v05_i03,official_journal_issue,2010,2010-03-31,"vol. 5, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i03
plos_one_v05_i04,official_journal_issue,2010,2010-04-21,"vol. 5, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i04
plos_one_v05_i05,official_journal_issue,2010,2010-05-25,"vol. 5, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i05
plos_one_v05_i06,official_journal_issue,2010,2010-06-23,"vol. 5, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i06
plos_one_v05_i07,official_journal_issue,2010,2010-07-07,"vol. 5, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i07
plos_one_v05_i08,official_journal_issue,2010,2010-08-19,"vol. 5, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i08
plos_one_v05_i09,official_journal_issue,2010,2010-09-10,"vol. 5, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i09
plos_one_v05_i10,official_journal_issue,2010,2010-10-28,"vol. 5, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i10
plos_one_v05_i11,official_journal_issue,2010,2010-11-23,"vol. 5, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i11
plos_one_v05_i12,official_journal_issue,2010,2010-12-07,"vol. 5, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v05.i12
plos_one_v06_i01,official_journal_issue,2011,2011-01-18,"vol. 6, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i01
plos_one_v06_i02,official_journal_issue,2011,2011-02-23,"vol. 6, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i02
plos_one_v06_i03,official_journal_issue,2011,2011-03-29,"vol. 6, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i03
plos_one_v06_i04,official_journal_issue,2011,2011-04-21,"vol. 6, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i04
plos_one_v06_i05,official_journal_issue,2011,2011-05-11,"vol. 6, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i05
plos_one_v06_i06,official_journal_issue,2011,2011-06-16,"vol. 6, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i06
plos_one_v06_i07,official_journal_issue,2011,2011-07-27,"vol. 6, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i07
plos_one_v06_i08,official_journal_issue,2011,2011-08-22,"vol. 6, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i08
plos_one_v06_i09,official_journal_issue,2011,2011-09-09,"vol. 6, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i09
plos_one_v06_i10,official_journal_issue,2011,2011-10-03,"vol. 6, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i10
plos_one_v06_i11,official_journal_issue,2011,2011-11-03,"vol. 6, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i11
plos_one_v06_i12,official_journal_issue,2011,2011-12-16,"vol. 6, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v06.i12
