unit_id,unit_type,year,date,unit_label,unit_url
plos_one_v10_i01,official_journal_issue,2015,2015-01-29,"vol. 10, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i01
plos_one_v10_i02,official_journal_issue,2015,2015-02-11,"vol. 10, issue 2",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i02
plos_one_v10_i03,official_journal_issue,2015,2015-03-30,"vol. 10, issue 3",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i03
plos_one_v10_i04,official_journal_issue,2015,2015-04-29,"vol. 10, issue 4",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i04
plos_one_v10_i05,official_journal_issue,2015,2015-05-12,"vol. 10, issue 5",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i05
plos_one_v10_i06,official_journal_issue,2015,2015-06-12,"vol. 10, issue 6",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i06
plos_one_v10_i07,official_journal_issue,2015,2015-07-01,"vol. 10, issue 7",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i07
plos_one_v10_i08,official_journal_issue,2015,2015-08-21,"vol. 10, issue 8",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i08
plos_one_v10_i09,official_journal_issue,2015,2015-09-23,"vol. 10, issue 9",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i09
plos_one_v10_i10,official_journal_issue,2015,2015-10-08,"vol. 10, issue 10",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i10
plos_one_v10_i11,official_journal_issue,2015,2015-11-10,"vol. 10, issue 11",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i11
plos_one_v10_i12,official_journal_issue,2015,2015-12-28,"vol. 10, issue 12",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v10.i12
plos_one_v11_i01,official_journal_issue,2016,2016-01-29,"vol. 11, issue 1",https://journals.plos.org/plosone/issue?id=10.1371/issue.pone.v11.i01
