source,unit_id,year,volume,issue,doi,pmcid,openalex_id,title,authors,type,oa_status,oa_url,pdf_url,landing_page_url
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,x4hmiswu7e,,,Indiscriminate Data Poisoning Attacks on Neural Networks,Yiwei Lu; Gautam Kamath; Yaoliang Yu,article,gold,,https://openreview.net/pdf?id=x4hmiswu7e,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,nxb0rem2tq,,,COIN++: Neural Compression Across Modalities,Emilien Dupont; Hrushikesh Loya; Milad Alizadeh; Adam Golinski; Yee Whye Teh; Arnaud Doucet,article,gold,,https://openreview.net/pdf?id=nxb0rem2tq,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,29v0xo7jkp,,,Unsupervised Mismatch Localization in Cross-Modal Sequential Data with Application to Mispronunciations Localization,Wei Wei; Hengguan Huang; Xiangming Gu; Hao Wang; Ye Wang,article,gold,,https://openreview.net/pdf?id=29v0xo7jkp,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,srgvmxjrmg,,,Unsupervised Network Embedding Beyond Homophily,Zhiqiang Zhong; Guadalupe Gonzalez; Daniele Grattarola; Jun Pang,article,gold,,https://openreview.net/pdf?id=srgvmxjrmg,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,lukvf4vrfp,,,Lazy vs hasty: linearization in deep networks impacts learning schedule based on example difficulty,Thomas George; Guillaume Lajoie; Aristide Baratin,article,gold,,https://openreview.net/pdf?id=lukvf4vrfp,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,3gfpbr1ncr,,,On Characterizing the Trade-off in Invariant Representation Learning,Bashir Sadeghi; Sepehr Dehdashtian; Vishnu Boddeti,article,gold,,https://openreview.net/pdf?id=3gfpbr1ncr,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,uvdd9rn6zz,,,"Stochastic Douglas-Rachford Splitting for Regularized Empirical Risk Minimization: Convergence, Mini-batch, and Implementation",Aysegul Bumin; Kejun Huang,article,gold,,https://openreview.net/pdf?id=uvdd9rn6zz,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,dy1pmrmdkm,,,Modeling Bounded Rationality in Multi-Agent Simulations Using Rationally Inattentive Reinforcement Learning,Tong Mu; Stephan Zheng; Alexander R Trott,article,gold,,https://openreview.net/pdf?id=dy1pmrmdkm,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,2vwr6jfwno,,,MVSFormer: Multi-View Stereo by Learning Robust Image Features and Temperature-based Depth,Chenjie Cao; Xinlin Ren; Yanwei Fu,article,gold,,https://openreview.net/pdf?id=2vwr6jfwno,
Transactions on Machine Learning Research (TMLR),tmlr_v2022_i,2022,2022,,yet9cbq8cn,,,A Unified Domain Adaptation Framework with Distinctive Divergence Analysis,Zhiri YUAN et al.,article,gold,,https://openreview.net/pdf?id=yet9cbq8cn,
