paper_id,source_type,source_url,access_status,download_status,local_path,checked_date,notes
P0004,Oregon State Special Collections archive images,https://scarc.library.oregonstate.edu/coll/pauling/dna/papers/corr68.11-reprint-19530425.html,public_archive_copy_found,assembled_from_public_archive_images,corpus/pdfs/molecular_cell_biology/P0004.pdf,2026-06-19,Two public page images combined into a PDF; text OCRed from the images.
P0013,Europe PMC rendered PDF,https://europepmc.org/articles/PMC528642?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/P0013.pdf,2026-06-19,Verified PDF.
P0002,Internet Archive copy of UMass Medical PDF,https://web.archive.org/web/20061102223642/http://www.umassmed.edu/administration/uploads/Fire_and_Mello_Nature_1998.pdf,public_archive_pdf_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/P0002.pdf,2026-06-19,Verified PDF.
P0008,APS harvest endpoint,https://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.53.1951/fulltext,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/condensed_matter_physics/P0008.pdf,2026-06-19,Verified PDF.
P0015,Europe PMC rendered PDF,https://europepmc.org/articles/PMC1063734?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/P0015.pdf,2026-06-19,Verified PDF.
P0016,Europe PMC rendered PDF,https://europepmc.org/articles/PMC528395?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/P0016.pdf,2026-06-19,Verified PDF.
P0001,User-provided local PDF,"/Users/marcus/Downloads/Guo & Kemphues, Cell 1995.pdf",user_provided_pdf,user_provided_verified_pdf,corpus/pdfs/molecular_cell_biology/P0001.pdf,2026-06-19,"Copied from Downloads, verified as PDF, and text extracted. Earlier Cell/ScienceDirect routes returned 403; Elsevier API exposed metadata only."
P0005,APS harvest endpoint,https://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.53.2477/fulltext,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/condensed_matter_physics/P0005.pdf,2026-06-19,Verified PDF.
P0009,Nature direct PDF,https://www.nature.com/articles/s41586-021-03819-2.pdf,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0009.pdf,2026-06-19,Verified PDF.
P0010,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=9812260&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/P0010.pdf,2026-06-19,Native PDF route returned HTML/challenge; generated review PDF from public XML.
P0012,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=6642641&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/P0012.pdf,2026-06-19,Native PDF route unavailable in this environment; generated review PDF from public XML.
P0011,Nature Medicine direct PDF,https://www.nature.com/articles/s41591-020-0944-y.pdf,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0011.pdf,2026-06-19,Verified PDF.
P0007,Europe PMC rendered PDF,https://europepmc.org/articles/PMC1239896?pdf=render,oa_pdf_url_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0007.pdf,2026-06-19,Verified PDF.
P0006,User-provided local PDF,"/Users/marcus/Downloads/Lamb et al., Science 2006 Connectivity Map.pdf",user_provided_pdf,user_provided_verified_pdf,corpus/pdfs/computational_biology/P0006.pdf,2026-06-19,"Copied from Downloads, verified as PDF, and text extracted. Earlier public/publisher routes did not produce a verified PDF."
P0003,NCBI PMC full-text XML,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4481139&retmode=xml,oa_full_text_xml_found,generated_pdf_from_pmc_xml,corpus/pdfs/computational_biology/P0003.pdf,2026-06-19,Cell/ScienceDirect native PDF routes returned 403; generated review PDF from public XML.
P0014,Harvard DASH bitstream,https://dash.harvard.edu/server/api/core/bitstreams/7312037d-ef91-6bd4-e053-0100007fdf3b/content,repository_pdf_found,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0014.pdf,2026-06-19,Verified PDF.
P0017,publisher_or_repository_pdf,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004151&type=printable,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0017.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=PLOS Computational Biology; inventory=plos_computational_biology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_biology/P0017.txt; pages=22; text_chars=73273; source_blocked_design=true; source_block=PLOS Computational Biology; source_block_order=1
P0018,publisher_or_repository_pdf,https://proceedings.neurips.cc/paper_files/paper/2018/file/2ad9e5e943e43cad612a7996c12a8796-Paper.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/ml_ai_methods/P0018.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=NeurIPS; inventory=neurips_proceedings_v1.0.1_2015-2025_20260620; text_path=corpus/text/ml_ai_methods/P0018.txt; pages=10; text_chars=36934; source_blocked_design=true; source_block=NeurIPS; source_block_order=1
P0019,publisher_or_repository_pdf,https://link.springer.com/content/pdf/10.1140/epjc/s10052-023-11860-w.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/particle_gravitational_physics/P0019.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=The European Physical Journal C; inventory=epj_c_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/particle_gravitational_physics/P0019.txt; pages=12; text_chars=54268; source_blocked_design=true; source_block=The European Physical Journal C; source_block_order=1
P0020,publisher_or_repository_pdf,https://arxiv.org/pdf/1906.11674,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/statistical_physics/P0020.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=Journal of Cosmology and Astroparticle Physics; inventory=jcap_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/statistical_physics/P0020.txt; pages=21; text_chars=56393; source_blocked_design=true; source_block=Journal of Cosmology and Astroparticle Physics; source_block_order=1
P0021,publisher_or_repository_pdf,https://elifesciences.org/articles/10167.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/molecular_cell_biology/P0021.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=eLife; inventory=elife_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/molecular_cell_biology/P0021.txt; pages=16; text_chars=41035; source_blocked_design=true; source_block=eLife; source_block_order=1
P0022,publisher_or_repository_pdf,https://arxiv.org/pdf/1803.00352,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/condensed_matter_physics/P0022.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=Physical Review X; inventory=physical_review_x_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/condensed_matter_physics/P0022.txt; pages=8; text_chars=38498; source_blocked_design=true; source_block=Physical Review X; source_block_order=1
P0023,publisher_or_repository_pdf,https://www.frontiersin.org/articles/10.3389/fncom.2024.1367712/pdf?isPublishedV2=False,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_neuroscience/P0023.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=Frontiers in Computational Neuroscience; inventory=frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_neuroscience/P0023.txt; pages=33; text_chars=171981; source_blocked_design=true; source_block=Frontiers in Computational Neuroscience; source_block_order=1
P0024,publisher_or_repository_pdf,http://bura.brunel.ac.uk/bitstream/2438/28248/1/FullText.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/cognitive_science_psychology/P0024.pdf,2026-06-20,random_base production draw round_20260620_random_base_8; source=Collabra Psychology; inventory=collabra_psychology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/cognitive_science_psychology/P0024.txt; pages=16; text_chars=78239; source_blocked_design=true; source_block=Collabra Psychology; source_block_order=1
P0025,publisher_or_repository_pdf,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006792&type=printable,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0025.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; source=PLOS Computational Biology; inventory=plos_computational_biology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_biology/P0025.txt; pages=15; text_chars=42752; source_blocked_design=true; source_block=PLOS Computational Biology; source_block_order=1
P0026,publisher_or_repository_pdf,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1007069&type=printable,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0026.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; source=PLOS Computational Biology; inventory=plos_computational_biology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_biology/P0026.txt; pages=12; text_chars=35578; source_blocked_design=true; source_block=PLOS Computational Biology; source_block_order=1
P0027,publisher_or_repository_pdf,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1008930&type=printable,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0027.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; source=PLOS Computational Biology; inventory=plos_computational_biology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_biology/P0027.txt; pages=23; text_chars=76495; source_blocked_design=true; source_block=PLOS Computational Biology; source_block_order=1
P0028,publisher_or_repository_pdf,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004869&type=printable,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/computational_biology/P0028.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; QC replacement; source=PLOS Computational Biology; inventory=plos_computational_biology_openalex_v1.0.1_through2025_20260620; text_path=corpus/text/computational_biology/P0028.txt; pages=29; text_chars=78920; source_blocked_design=true; source_block=PLOS Computational Biology; source_block_order=1
P0029,publisher_or_repository_pdf,https://proceedings.neurips.cc/paper_files/paper/2018/file/a012869311d64a44b5a0d567cd20de04-Paper.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/ml_ai_methods/P0029.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; source=NeurIPS; inventory=neurips_proceedings_v1.0.1_2015-2025_20260620; text_path=corpus/text/ml_ai_methods/P0029.txt; pages=11; text_chars=38854; source_blocked_design=true; source_block=NeurIPS; source_block_order=1
P0030,publisher_or_repository_pdf,https://proceedings.neurips.cc/paper_files/paper/2025/file/04388b6780bcf1a39ad0a91422f09a85-Paper-Conference.pdf,oa_accessible_verified,downloaded_verified_pdf,corpus/pdfs/ml_ai_methods/P0030.pdf,2026-06-20,random_base production draw round_20260620_random_base_to_5_per_field; source=NeurIPS; inventory=neurips_proceedings_v1.0.1_2015-2025_20260620; text_path=corpus/text/ml_ai_methods/P0030.txt; pages=24; text_chars=73242; source_blocked_design=true; source_block=NeurIPS; source_block_order=1
