paper_id,field,source,inventory_id,era_band,source_block_sequence,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,pdf_url,pdf_path,text_path,pdf_sha256,text_sha256,text_chars,openalex_cited_by_count
P0058,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,6,202606201001,plos_computational_biology_2025_v21_i12,2025,A deep learning approach for time-consistent cell cycle phase prediction from microscopy data,10.1371/journal.pcbi.1013800,138,89,8.14199641752158e-05,12282,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1013800&type=printable,corpus/pdfs/computational_biology/P0058.pdf,corpus/text/computational_biology/P0058.txt,5c6f1b481052ff9f9a31ca64e4dd910dbddb4f03597c2080e7a8fff89e0aa04a,94ee1088b966b61ab92d5304f4917cc71cc32d6ea7b84c93168a3f645c4f00e2,69711,1
P0059,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,7,202606201001,plos_computational_biology_2017_v13_i8,2017,Quantification of transplant-derived circulating cell-free DNA in absence of a donor genotype,10.1371/journal.pcbi.1005629,138,38,0.0001906941266209,5244,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1005629&type=printable,corpus/pdfs/computational_biology/P0059.pdf,corpus/text/computational_biology/P0059.txt,4425e84c7fbad5887300e2a5e017fcacb875b4ddc950b3c906636ec8f9eddfa7,bf8fe88449c11a2485898fec143895531d2501e5dde8171400775698c46c145d,63149,88
P0060,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,8,202606201001,plos_computational_biology_2023_v19_i10,2023,Predicting regional somatic mutation rates using DNA motifs,10.1371/journal.pcbi.1011536,138,62,0.000116877045348294,8556,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1011536&type=printable,corpus/pdfs/computational_biology/P0060.pdf,corpus/text/computational_biology/P0060.txt,a74700db52dfd4a8c36ca20f8c4091fb4a098f21fc4c64872190561bbd786905,d0b4839902938da4b9fec2c5e2e6b19a761e14d2f454b268ba2cbb0ed22f13b8,93909,0
P0061,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,9,202606201001,plos_computational_biology_2019_v15_i4,2019,Recentrifuge: Robust comparative analysis and contamination removal for metagenomics,10.1371/journal.pcbi.1006967,138,75,9.66183574879227e-05,10350,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1006967&type=printable,corpus/pdfs/computational_biology/P0061.pdf,corpus/text/computational_biology/P0061.txt,374d7dd9996915f2d3c69b9fc758924f19623d5a14c5c58072078a3759efcf48,0d7433d14c6c42ff72234ba16d20f82ce6a37be664d402c14fe1d9f8c0fd55b2,78592,105
P0062,Computational biology / genomics-ML,PLOS Computational Biology,plos_computational_biology_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,10,202606201001,plos_computational_biology_2015_v11_i4,2015,Hybrid Spreading Mechanisms and T Cell Activation Shape the Dynamics of HIV-1 Infection,10.1371/journal.pcbi.1004179,138,62,0.000116877045348294,8556,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1004179&type=printable,corpus/pdfs/computational_biology/P0062.pdf,corpus/text/computational_biology/P0062.txt,aaa0315392b03565e72ee13abdbd7f7d51748e6cce7b66920d0367878fb07e5b,919272fa7fb6378b09c0bafc99af4f596dc93400cfd2a318f5c03edc49a52eb6,64681,31
P0063,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,6,202606201002,frontiers_computational_neuroscience_2021_v15,2021,Evaluating State Space Discovery by Persistent Cohomology in the Spatial Representation System,10.3389/fncom.2021.616748,23,80,0.000543478260869565,1840,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2021.616748/pdf,corpus/pdfs/computational_neuroscience/P0063.pdf,corpus/text/computational_neuroscience/P0063.txt,1473ba5daf92c379a249483109eb7ef62aa51333bd9cd4657b2bd513054ff776,56e63cadf5de6c1e0e81ef8f73dfc777afcbc770f8d863a948798275cac5dc4e,72342,33
P0064,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,7,202606201002,frontiers_computational_neuroscience_2023_v17,2023,Atypical development of causal inference in autism inferred through a neurocomputational model,10.3389/fncom.2023.1258590,23,102,0.000426257459505541,2346,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2023.1258590/pdf,corpus/pdfs/computational_neuroscience/P0064.pdf,corpus/text/computational_neuroscience/P0064.txt,5283ef77e64081c0c462fd966a41f603333313840d250280901520467aa47d8b,04d228032ae5474338d5c70b75eff76d65b5a011de23d82f598356d1b12ed890,111764,5
P0065,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,8,202606201002,frontiers_computational_neuroscience_2016_v9,2016,An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements,10.3389/fncom.2015.00154,23,4,0.0108695652173913,92,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2015.00154/pdf,corpus/pdfs/computational_neuroscience/P0065.pdf,corpus/text/computational_neuroscience/P0065.txt,c1c869f9e46b54f5e2e06170789af9375b1d661c8b024636e3ba4db9640b230a,6cce7427fe188394c5df267c55c480587f7ea97c98ed52cc1c6abbfcc2da808a,61222,11
P0066,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,9,202606201002,frontiers_computational_neuroscience_2019_v13,2019,The Application of Unsupervised Clustering Methods to Alzheimer’s Disease,10.3389/fncom.2019.00031,23,54,0.000805152979066023,1242,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2019.00031/pdf,corpus/pdfs/computational_neuroscience/P0066.pdf,corpus/text/computational_neuroscience/P0066.txt,01dd6ee18a9d289a840cba0e617259576da68f2df5c35de54662ed0ef238df01,0a73fca12f52c68412dd5ddb72a99d2ae8a0115dac286159f772651373c9a77d,52448,219
P0067,Computational neuroscience,Frontiers in Computational Neuroscience,frontiers_computational_neuroscience_openalex_v1.0.1_through2025_20260620,2015-present_completed_years_2015-2025,10,202606201002,frontiers_computational_neuroscience_2018_v11,2018,Dynamic Hebbian Cross-Correlation Learning Resolves the Spike Timing Dependent Plasticity Conundrum,10.3389/fncom.2017.00119,23,3,0.0144927536231884,69,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2017.00119/pdf,corpus/pdfs/computational_neuroscience/P0067.pdf,corpus/text/computational_neuroscience/P0067.txt,b0bfba33e5947bb2a3ae565ed95c9679ae6b6a88af8b2edf80190153ed9e5cd7,128712a06bcc83509eb0aaee71cdbf92bf29e07363013af4bf9abc0d7efd6ba2,80286,4
