paper_id,field,source,inventory_id,era_band,venue_tier,draw_idx,seed,unit_id,unit_year,title,doi,eligible_units,eligible_papers_in_selected_unit,selection_probability,design_weight,acquisition_route,pdf_url,pdf_path,text_path,pdf_sha256,text_chars
P0509,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,1,202606211501,nature_medicine_2023_04,2023,"Tau-targeting antisense oligonucleotide MAPTRx in mild Alzheimer’s disease: a phase 1b, randomized, placebo-controlled trial",10.1038/s41591-023-02326-3,65,10,0.00153846153846154,650,direct_pdf_route,https://www.nature.com/articles/s41591-023-02326-3.pdf?error=cookies_not_supported&code=18ae717d-f561-4b62-a86e-cbdd605e93c1,corpus/pdfs/clinical_medicine/P0509.pdf,corpus/text/clinical_medicine/P0509.txt,2e06909be532b284878b5210db5d21f76baa111c7342e9c86594a80f8a951b17,70006
P0510,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,2,202606211501,nature_medicine_2024_06,2024,Lisocabtagene maraleucel in follicular lymphoma: the phase 2 TRANSCEND FL study,10.1038/s41591-024-02986-9,65,30,0.000512820512820513,1950,direct_pdf_route,https://www.nature.com/articles/s41591-024-02986-9.pdf?error=cookies_not_supported&code=8ee17b94-4455-4b64-b901-682ac98990ff,corpus/pdfs/clinical_medicine/P0510.pdf,corpus/text/clinical_medicine/P0510.txt,70b67d59642a95bee3f6868121948a018d6b21325fbf64f2af853a8fc6864f35,78161
P0511,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,3,202606211501,nature_medicine_2024_01,2024,"Effects of the WHO Labour Care Guide on cesarean section in India: a pragmatic, stepped-wedge, cluster-randomized pilot trial",10.1038/s41591-023-02751-4,65,16,0.000961538461538462,1040,direct_pdf_route,https://www.nature.com/articles/s41591-023-02751-4.pdf?error=cookies_not_supported&code=9b45d14a-62ed-48e6-b563-622b903245c6,corpus/pdfs/clinical_medicine/P0511.pdf,corpus/text/clinical_medicine/P0511.txt,c3a06a689ef1b07db81c8b43775eb417d876aabb609ca921102ae9fa78d6be5f,61683
P0512,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,4,202606211501,nature_medicine_2025_02,2025,Preeclampsia risk prediction from prenatal cell-free DNA screening,10.1038/s41591-025-03509-w,65,7,0.0021978021978022,455,direct_pdf_route,https://www.nature.com/articles/s41591-025-03509-w.pdf?error=cookies_not_supported&code=caa5d296-c5f7-479c-9ef9-308005a02523,corpus/pdfs/clinical_medicine/P0512.pdf,corpus/text/clinical_medicine/P0512.txt,cf8bd031400962f98c64339127067c8cebb8983f0f676b58aba3be598fb3c81e,92013
P0513,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,5,202606211501,nature_medicine_2025_12,2025,Vagus nerve-mediated neuroimmune modulation for rheumatoid arthritis: a pivotal randomized controlled trial,10.1038/s41591-025-04114-7,65,5,0.00307692307692308,325,direct_pdf_route,https://www.nature.com/articles/s41591-025-04114-7.pdf?error=cookies_not_supported&code=003bbfb7-34fd-4199-80ad-09698bc40c0f,corpus/pdfs/clinical_medicine/P0513.pdf,corpus/text/clinical_medicine/P0513.txt,cb66a9fe80b52a794f9a86c68b82a7497325a2fb5891e99df3543eda15339389,77390
P0514,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,6,202606211501,nature_medicine_2023_11,2023,Viral and host mediators of non-suppressible HIV-1 viremia,10.1038/s41591-023-02611-1,65,12,0.00128205128205128,780,direct_pdf_route,https://www.nature.com/articles/s41591-023-02611-1.pdf?error=cookies_not_supported&code=5a168add-f45d-4bea-9f8e-a738fc1dfc3e,corpus/pdfs/clinical_medicine/P0514.pdf,corpus/text/clinical_medicine/P0514.txt,3a8f879668b44d6d3423dd7eb83e74cc4cb5dd165051f3a4d8f5681b2f7c1eca,97318
P0515,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,7,202606211501,nature_medicine_2025_08,2025,Perioperative IDH inhibition in treatment-naive IDH-mutant glioma: a pilot trial,10.1038/s41591-025-03884-4,65,12,0.00128205128205128,780,direct_pdf_route,https://www.nature.com/articles/s41591-025-03884-4.pdf?error=cookies_not_supported&code=ef69bcdd-29fe-4ff1-9c8b-f9b8ad5b5108,corpus/pdfs/clinical_medicine/P0515.pdf,corpus/text/clinical_medicine/P0515.txt,c7457f725df828028965a06fe283183d35d3a100ef374a47b8cfad4d6dc52260,183384
P0516,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,8,202606211501,nature_medicine_2022_11,2022,Acute and postacute sequelae associated with SARS-CoV-2 reinfection,10.1038/s41591-022-02051-3,65,3,0.00512820512820513,195,direct_pdf_route,https://www.nature.com/articles/s41591-022-02051-3.pdf?error=cookies_not_supported&code=ff5d2cd9-8639-413e-aebc-11ea3b8ff9a9,corpus/pdfs/clinical_medicine/P0516.pdf,corpus/text/clinical_medicine/P0516.txt,90552a6f3289263d367a1dbe446479528bcea116cab645b6a955568a69d71c85,57547
P0517,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,9,202606211501,nature_medicine_2024_08,2024,"Deep learning versus manual morphology-based embryo selection in IVF: a randomized, double-blind noninferiority trial",10.1038/s41591-024-03166-5,65,12,0.00128205128205128,780,direct_pdf_route,https://www.nature.com/articles/s41591-024-03166-5.pdf?error=cookies_not_supported&code=555d2433-f6c8-482f-abe6-7c7809ee0832,corpus/pdfs/clinical_medicine/P0517.pdf,corpus/text/clinical_medicine/P0517.txt,8dcdac3eaa353dbabccb32c5dfdde2aa1e940790508994254e025e7dddf73697,52797
P0518,Clinical medicine / epidemiology / evidence-based medicine,Nature Medicine,nature_medicine_nature_research_articles_oa_clinical_v1.0.0_2015-2025_20260621,2015-present_completed_years_2015-2025,top,10,202606211501,nature_medicine_2023_04,2023,Motixafortide and G-CSF to mobilize hematopoietic stem cells for autologous transplantation in multiple myeloma: a randomized phase 3 trial,10.1038/s41591-023-02273-z,65,10,0.00153846153846154,650,direct_pdf_route,https://www.nature.com/articles/s41591-023-02273-z.pdf?error=cookies_not_supported&code=d3cbafe8-bcbc-4064-b184-537294cd8ddb,corpus/pdfs/clinical_medicine/P0518.pdf,corpus/text/clinical_medicine/P0518.txt,47c0237f37b70746c636591c3c570ec4014ce97c36af2a24224c1e0400a1cb5b,101271
